rock_name_original,rock_group,rock_family,n_occurrences,seen_in
"Mineralized, altered porphyritic fine -medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?)",peridotite / ultramafic,ultramafic,2,descriptions.rock_name
"Mineralized, altered, fine to medium grained Px-Bt-Amph gabbro",gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name
"Mineralized, cordierite-actinolite metasomatite",skarn / metasomatite,metamorphic,2,descriptions.rock_name
"Mineralized, fine- medium grained hornblende pyroxene melanocratic gabbro (Peridotite?)",peridotite / ultramafic,ultramafic,2,descriptions.rock_name
"Mineralized, metasomatized medium grained Amph-peridotite 
(melanocratic Gabbro?)",skarn / metasomatite,metamorphic,2,descriptions.rock_name
"Mineralized, quartz vein with carbonate",vein / quartz,vein-ore,2,descriptions.rock_name
"Mineralized, serpentinitized, fine to medium grained Amph-Peridotite",peridotite / ultramafic,ultramafic,2,descriptions.rock_name
"Mineralized, silicified cordierite-serpentine-actinolite metasomatite",skarn / metasomatite,metamorphic,2,descriptions.rock_name
"Mineralized, silicified cordierite-serpentine-chlorite metasomatite",skarn / metasomatite,metamorphic,2,descriptions.rock_name
Net textured,massive sulfide / ore,vein-ore,2,samples.field_lithology
Olivine Gabbro,olivine gabbro / melagabbro,mafic intrusive,2,samples.field_lithology
Olivine+hornblende orthocumulate,peridotite / ultramafic,ultramafic,2,descriptions.rock_name
"Ore mineralized, altered fine-medium grained biotite subalkaline diorite",diorite / quartz diorite,felsic-intermediate intrusive,2,descriptions.rock_name
Poorly mineralised gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,samples.field_lithology
Porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry),olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name
Porphyritic fine-grained pyroxene-hornblende gabbro (Altered gabbro porphyry),gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name
Quartz-bearing amphibolite,amphibolite / metabasite,metamorphic,2,descriptions.rock_name; samples.petro_lithology
Quartzite,sediment / metasediment,sedimentary,2,descriptions.rock_name; samples.field_lithology
Rhyodacite,volcanic / subvolcanic,volcanic,2,descriptions.rock_name; samples.field_lithology
Rhyolite porphyry (dacite porphyry in fig. captions),volcanic / subvolcanic,volcanic,2,descriptions.rock_name; samples.petro_lithology
"Schistose, carbonatized and intense altered gabbrodiorite-porphyry (Metasomatite by gabbrodiorite porphyry)",skarn / metasomatite,metamorphic,2,descriptions.rock_name
Serpentinite,peridotite / ultramafic,ultramafic,2,samples.petro_lithology
Spotted meta-siltstone,hornfels / spotted rock,metamorphic,2,descriptions.rock_name; samples.petro_lithology
Strong metasomatized ultramafic,skarn / metasomatite,metamorphic,2,samples.field_lithology
"Strongly altered, mineralised uneven-grained hornblende peridotite",peridotite / ultramafic,ultramafic,2,descriptions.rock_name
"Strongly altered, weakly mineralised uneven-grained olivine-pyroxene peridotite",peridotite / ultramafic,ultramafic,2,descriptions.rock_name; samples.petro_lithology
Strongly mineralised (ferruginous) quartzite,sediment / metasediment,sedimentary,2,descriptions.rock_name; samples.petro_lithology
Strongly mineralised garnet-quartz vein,vein / quartz,vein-ore,2,descriptions.rock_name; samples.petro_lithology
"Strongly mineralised, altered melanocratic gabbro porphyry",olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name
Strongly mineralized quartz-sericite schist,schist / phyllite,metamorphic,2,descriptions.rock_name; samples.petro_lithology
Subvolcanic Rock,volcanic / subvolcanic,volcanic,2,descriptions.rock_name; samples.field_lithology
Tuffsandstone,volcanic / subvolcanic,volcanic,2,descriptions.rock_name; samples.field_lithology
Unmineralized gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,samples.field_lithology
Weak mineralized Hornblende Peridotite,peridotite / ultramafic,ultramafic,2,samples.field_lithology
Weakly mineralised and altered fine- to medium-grained pyroxene-hornblende gabbrodiorite,gabbrodiorite,mafic intrusive,2,descriptions.rock_name
"Weakly mineralised, altered melanocratic gabbro porphyry",olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name
"Weakly mineralized, altered, fine to medium grained Px-Amph Gabbrodiorite",gabbrodiorite,mafic intrusive,2,descriptions.rock_name
"Well preserved, mineralized olivine-hornblende orthocumulate",peridotite / ultramafic,ultramafic,2,descriptions.rock_name
altered dolerite,dolerite / diabase / basalt dyke,mafic intrusive,2,descriptions.rock_name; samples.field_lithology
gossan,gossan / oxidized,vein-ore,2,samples.field_lithology
mafic intrusive,mafic intrusive (undifferentiated),mafic intrusive,2,descriptions.rock_name; samples.field_lithology
oxidazed gabbro,gossan / oxidized,vein-ore,2,samples.field_lithology
schist?,schist / phyllite,metamorphic,2,samples.field_lithology
Андезит,volcanic / subvolcanic,volcanic,2,descriptions.rock_name_original; samples.petro_lithology
Андезитын туф,volcanic / subvolcanic,volcanic,2,descriptions.rock_name_original; samples.petro_lithology
Габбродиорит,gabbrodiorite,mafic intrusive,2,descriptions.rock_name_original; samples.petro_lithology
Габбродиорит порфироор үүссэн амфиболит,gabbrodiorite,mafic intrusive,2,descriptions.rock_name; samples.field_lithology
Диабаз,dolerite / diabase / basalt dyke,mafic intrusive,2,descriptions.rock_name_original; samples.petro_lithology
Диорит,diorite / quartz diorite,felsic-intermediate intrusive,2,descriptions.rock_name_original; samples.petro_lithology
Жигд биш ширхэгтэй хээрийн жоншт граувакк элсжин,sediment / metasediment,sedimentary,2,descriptions.rock_name_original
Жижиг ширхэгтэй эвэр хуурмагт габбордиорит,diorite / quartz diorite,felsic-intermediate intrusive,2,descriptions.rock_name_original
Кварц‑карбонат метасоматит,skarn / metasomatite,metamorphic,2,samples.petro_lithology
Оливин габбро,olivine gabbro / melagabbro,mafic intrusive,2,samples.petro_lithology
Оливинт габбро,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name_original
Оливинтой габбронорит,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name_original; samples.petro_lithology
Пикрит,peridotite / ultramafic,ultramafic,2,descriptions.rock_name_original; samples.petro_lithology
Пироксент роговик,hornfels / spotted rock,metamorphic,2,descriptions.rock_name_original; samples.petro_lithology
"Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт габбродиорит",gabbrodiorite,mafic intrusive,2,descriptions.rock_name_original
Филлит,schist / phyllite,metamorphic,2,descriptions.rock_name_original
Хувирсан габбро порфир,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name_original
Хувирсан жигд биш ширхэгтэй перидотит,peridotite / ultramafic,ultramafic,2,descriptions.rock_name_original
Хувирсан кварцат диорит,diorite / quartz diorite,felsic-intermediate intrusive,2,descriptions.rock_name_original; samples.petro_lithology
Хувирсан оливинт габбро,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name_original; samples.petro_lithology
Хувирсан шигтгээ маягийн жижиг дунд ширхэгтэй оливин-пироксен-эвэр хуурмагт меланократ габбро,olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name_original
"Хүдэржиж, хувирсан жигд биш ширхэгтэй пироксен-эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name_original
"Хүчтэй хувирч, хүдэржсэн жигд биш ширхэгтэй эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,2,descriptions.rock_name_original
"Хүчтэй хүдэржиж, хувирсан меланократ габбро порфир",olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name_original
Цул сульфидаас тогтсон хүдэр,massive sulfide / ore,vein-ore,2,descriptions.rock_name_original
Эвэрхуурмагт перидотит,peridotite / ultramafic,ultramafic,2,descriptions.rock_name_original; samples.petro_lithology
Alkaline rock with strong hematitic alterations,granitoid,felsic-intermediate intrusive,1,samples.field_lithology
Altered (actinolitized) gabbrodiorite porphyry,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Altered (strongly actinolitized) gabbrodiorite porphyry,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
"Altered alkali, quartzose diorite porphyry",diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Altered andesite (field name given as 'Gabbro basalt' - rejected by analyst),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Altered fine- to medium-grained biotite-amphibole gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Altered fine- to medium-grained pyroxene-hornblende gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Altered gabbro,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Altered gabbro porphyry (with hornblende gabbrodiorite schlieren),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Altered gabbrodiorite porphyry (with hornblende gabbro schlieren),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Altered medium- to coarse-grained pyroxenite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Altered medium- to fine-grained hornblende gabbrodiorite,gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Altered melanocratic gabbro (dolerite) porphyry with melanocratic microgabbro and pyroxene-garnet-carbonate skarn schlieren,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Altered melanocratic microgabbro (with lenses/bands of porphyritic melanocratic gabbronorite),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Altered olivine gabbro,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Altered plagio-rhyolite (plagio-granite porphyry),granitoid,felsic-intermediate intrusive,1,descriptions.rock_name
Altered porphyritic fine-grained pyroxene-hornblende melanocratic gabbro (altered melanocratic gabbro porphyry),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Altered porphyritic-like fine- to medium-grained olivine-pyroxene-hornblende melanocratic gabbro (uneven-grained melanocratic gabbro),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Altered porphyritic-like medium- to fine-grained olivine-pyroxene-hornblende melanocratic gabbro,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Altered porphyritic-like medium- to fine-grained olivine-pyroxene-hornblende melanocratic gabbro (gabbro porphyry),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Altered pyroxenite porphyry (vein pyroxenite),peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Altered qtz microdiorite,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Altered quartz diorite,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Altered quartzose microdiorite,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Altered rock with strong silicification and hematitic alterations,altered rock (protolith undetermined),unknown,1,samples.field_lithology
Altered uneven-grained hornblende melanocratic gabbro (with mineralised microgabbro lens/schlieren),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
Altered uneven-grained olivine-hornblende melanocratic gabbro,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Altered, fine to medium grained, Pyroxene-Amphibole Gabbro",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
"Altered, oxidised uneven-grained olivine-hornblende melanocratic gabbro (hornblende peridotite)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Amphibolite after gabbro (medium-grained),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Amphibolite after gabbrodiorite porphyry (amphibolitised gabbrodiorite porphyry),gabbrodiorite,mafic intrusive,1,descriptions.rock_name
Amphibolitized pyroxenite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Amygdaloidal basalt / andesite-basalt,dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name
Andesite porphyry (fine-grained diorite),diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Andesite porphyry; ore: hematite-goethite-limonite low-grade ore,gossan / oxidized,vein-ore,1,descriptions.rock_name
Andesite tuff,volcanic / subvolcanic,volcanic,1,descriptions.rock_name
Andesite with some malachite within the fractures,volcanic / subvolcanic,volcanic,1,samples.field_lithology
Andesitic rock with hematitic alteration along the fractures,volcanic / subvolcanic,volcanic,1,samples.field_lithology
Basalt,dolerite / diabase / basalt dyke,mafic intrusive,1,samples.field_lithology
Basalt / andesite-basalt (altered volcanic),dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name
Basalt dyke,dolerite / diabase / basalt dyke,mafic intrusive,1,samples.field_lithology
"Carbonate altered, albite altered, epidote-pyroxene-garnet-carbonate Skarn",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Carbonate altered, fine grained, Ksp-qtz sandy meta-siltstone",sediment / metasediment,sedimentary,1,descriptions.rock_name
Carbonated and mineralised quartz vein,vein / quartz,vein-ore,1,descriptions.rock_name
Carbonatised and albitised epidote-pyroxene-garnet-carbonate skarn,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Carbonatised fine-grained feldspar-quartz sandy metasiltstone,sediment / metasediment,sedimentary,1,descriptions.rock_name
Carbonatised plagioclase-epidote-pyroxene micro-gneiss? (garnet-bearing skarn-like rock),skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Carbonatised, metasomatically strongly altered medium- to fine-grained biotite diorite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Carbonatised, mineralised quartz vein",vein / quartz,vein-ore,1,descriptions.rock_name
"Carbonatised, mineralised uneven-grained olivine-hornblende peridotite (with fine gabbro and leucogabbro lenses/schlieren)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Carbonatised, silicified altered gabbrodiorite porphyry",gabbrodiorite,mafic intrusive,1,descriptions.rock_name
"Carbonatised, weakly brecciated altered diorite porphyry",diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name
Carbonatized and silicified altered andesite,volcanic / subvolcanic,volcanic,1,descriptions.rock_name
