hole_id,depth_m,dip,azimuth,grid,method,survey_company,survey_date,hole_id_raw
OVD015,51.0,-56.17,62.53,WGS84_46N,MS,Bayan Undraga LLC,7/30/2024,OVD015
OVD015,101.0,-55.88,64.53,WGS84_46N,MS,Bayan Undraga LLC,8/1/2024,OVD015
OVD015,150.0,-55.91,66.62,WGS84_46N,MS,Bayan Undraga LLC,8/3/2024,OVD015
OVD015,200.0,-56.08,64.52,WGS84_46N,MS,Bayan Undraga LLC,8/4/2024,OVD015
OVD015,213.7,-56.08,64.52,WGS84_46N,MS,Bayan Undraga LLC,8/4/2024,OVD015
OVD012,0.0,-66.12,172.76,WGS84_46N,MS,Bayan Undraga LLC,8/5/2024,OVD012
OVD012,50.0,-66.12,172.76,WGS84_46N,MS,Bayan Undraga LLC,8/5/2024,OVD012
OVD012,100.0,-66.33,173.05,WGS84_46N,MS,Bayan Undraga LLC,8/6/2024,OVD012
OVD012,150.0,-66.18,173.74,WGS84_46N,MS,Bayan Undraga LLC,8/7/2024,OVD012
OVD012,200.0,-66.12,174.63,WGS84_46N,MS,Bayan Undraga LLC,8/8/2024,OVD012
OVD012,230.0,-66.38,173.47,WGS84_46N,MS,Bayan Undraga LLC,8/9/2024,OVD012
OVD012,260.0,-66.18,172.65,WGS84_46N,MS,Bayan Undraga LLC,8/10/2024,OVD012
OVD012,320.0,-66.41,182.68,WGS84_46N,MS,Bayan Undraga LLC,8/12/2024,OVD012
OVD012,347.5,-66.47,173.32,WGS84_46N,MS,Bayan Undraga LLC,8/14/2024,OVD012
OVD012,354.3,-66.47,173.32,WGS84_46N,MS,Bayan Undraga LLC,8/14/2024,OVD012
OVD020,0.0,-78.18,253.49,WGS84_46N,MS,Bayan Undraga LLC,8/8/2024,OVD020
OVD020,50.0,-78.18,253.49,WGS84_46N,MS,Bayan Undraga LLC,8/8/2024,OVD020
OVD020,101.5,-78.58,255.7,WGS84_46N,MS,Bayan Undraga LLC,8/8/2024,OVD020
OVD020,130.5,-78.89,253.32,WGS84_46N,MS,Bayan Undraga LLC,8/9/2024,OVD020
OVD020,160.0,-79.21,254.44,WGS84_46N,MS,Bayan Undraga LLC,8/10/2024,OVD020
OVD020,179.5,-79.21,254.44,WGS84_46N,MS,Bayan Undraga LLC,8/10/2024,OVD020
SC03,0.0,-59.22,211.16,WGS84_46N,MS,Bayan Undraga LLC,8/21/2024,SC03
SC03,30.0,-59.22,211.16,WGS84_46N,MS,Bayan Undraga LLC,8/21/2024,SC03
SC03,60.0,-59.06,211.11,WGS84_46N,MS,Bayan Undraga LLC,8/21/2024,SC03
SC03,90.0,-58.91,211.56,WGS84_46N,MS,Bayan Undraga LLC,8/25/2024,SC03
SC03,116.0,-58.67,211.62,WGS84_46N,MS,Bayan Undraga LLC,8/26/2024,SC03
SC03,116.5,-58.67,211.62,WGS84_46N,MS,Bayan Undraga LLC,8/26/2024,SC03
SC04,0.0,-67.62,212.2,WGS84_46N,MS,Bayan Undraga LLC,9/11/2024,SC04
SC04,30.0,-67.62,212.2,WGS84_46N,MS,Bayan Undraga LLC,9/11/2024,SC04
SC04,60.0,-67.72,211.92,WGS84_46N,MS,Bayan Undraga LLC,9/11/2024,SC04
SC04,89.5,-67.65,212.44,WGS84_46N,MS,Bayan Undraga LLC,9/5/2024,SC04
SC04,120.0,-67.76,211.09,WGS84_46N,MS,Bayan Undraga LLC,9/11/2024,SC04
SC04,150.5,-67.72,212.39,WGS84_46N,MS,Bayan Undraga LLC,9/7/2024,SC04
SC04,179.5,-67.17,212.57,WGS84_46N,MS,Bayan Undraga LLC,9/8/2024,SC04
SC04,209.5,-66.73,213.2,WGS84_46N,MS,Bayan Undraga LLC,9/8/2024,SC04
SC04,239.5,-66.73,213.18,WGS84_46N,MS,Bayan Undraga LLC,9/8/2024,SC04
SC04,280.5,-66.35,212.72,WGS84_46N,MS,Bayan Undraga LLC,9/11/2024,SC04
SC04,281.5,-66.35,212.72,WGS84_46N,MS,Bayan Undraga LLC,9/11/2024,SC04
CRS01,0.0,-60.62,175.78,WGS84_46N,MS,Bayan Undraga LLC,8/20/2024,CRS01
CRS01,52.7,-60.62,175.78,WGS84_46N,MS,Bayan Undraga LLC,8/20/2024,CRS01
CRS01A,0.0,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,14.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,44.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,74.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,104.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,134.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,164.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,194.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
CRS01A,200.5,-70.0,30.0,WGS84_46N,MS,Bayan Undraga LLC,9/10/2024,CRS01A
OVD013,0.0,-76.98,239.85,WGS84_46N,MS,Bayan Undraga LLC,9/13/2024,OVD013
OVD013,32.9,-76.98,239.85,WGS84_46N,MS,Bayan Undraga LLC,9/13/2024,OVD013
OVD013,53.9,-77.43,241.58,WGS84_46N,MS,Bayan Undraga LLC,9/13/2024,OVD013
OVD013,92.9,-77.42,241.15,WGS84_46N,MS,Bayan Undraga LLC,9/14/2024,OVD013
OVD013,122.9,-77.65,239.65,WGS84_46N,MS,Bayan Undraga LLC,9/15/2024,OVD013
OVD013,155.9,-77.31,245.12,WGS84_46N,MS,Bayan Undraga LLC,9/15/2024,OVD013
OVD013,161.15,-77.31,245.12,WGS84_46N,MS,Bayan Undraga LLC,9/15/2024,OVD013
OVD021,0.0,-61.15,150.28,WGS84_46N,MS,Bayan Undraga LLC,9/13/2024,OVD021
OVD021,29.5,-61.15,150.28,WGS84_46N,MS,Bayan Undraga LLC,9/13/2024,OVD021
OVD021,59.5,-61.33,147.25,WGS84_46N,MS,Bayan Undraga LLC,9/13/2024,OVD021
OVD021,89.5,-61.77,148.23,WGS84_46N,MS,Bayan Undraga LLC,9/14/2024,OVD021
OVD021,119.5,-61.79,148.65,WGS84_46N,MS,Bayan Undraga LLC,9/16/2024,OVD021
OVD021,149.5,-61.76,148.87,WGS84_46N,MS,Bayan Undraga LLC,9/16/2024,OVD021
OVD021,184.5,-61.65,149.29,WGS84_46N,MS,Bayan Undraga LLC,9/16/2024,OVD021
OVD003,29.0,-61.52,61.6,WGS84_46N,MS,Bayan Undraga LLC,9/18/2024,OVD003
OVD003,59.0,-61.28,61.1,WGS84_46N,MS,Bayan Undraga LLC,9/18/2024,OVD003
OVD003,89.0,-60.66,61.5,WGS84_46N,MS,Bayan Undraga LLC,9/18/2024,OVD003
OVD003,119.0,-60.28,62.0,WGS84_46N,MS,Bayan Undraga LLC,9/18/2024,OVD003
OVD003,149.0,-60.36,65.2,WGS84_46N,MS,Bayan Undraga LLC,9/18/2024,OVD003
OVD003,179.0,-60.42,67.9,WGS84_46N,MS,Bayan Undraga LLC,9/17/2024,OVD003
OVD003,209.5,-60.4,67.9,WGS84_46N,MS,Bayan Undraga LLC,9/17/2024,OVD003
OVD001,0.0,-60.0,260.0,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,9.0,-60.0,260.7,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,15.0,-60.0,263.3,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,21.0,-60.0,263.8,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,27.0,-60.0,264.0,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,33.0,-60.0,264.6,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,39.0,-60.0,264.3,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,45.0,-60.0,264.4,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,51.0,-60.0,264.0,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,57.0,-60.0,263.5,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,63.0,-60.0,262.4,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,69.0,-60.0,263.6,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,75.0,-60.0,264.3,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD001,93.4,-60.0,263.9,WGS84_46N,,Bayan Undraga LLC,5/6/2023,OVD001
OVD002,0.0,-90.0,0.0,WGS84_46N,,Bayan Undraga LLC,Vertical hole,OVD002
OVD002,167.5,-90.0,0.0,WGS84_46N,,Bayan Undraga LLC,Vertical hole,OVD002
OVD004,0.0,-60.0,212.9,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,13.0,-60.0,213.5,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,19.0,-60.0,213.0,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,25.0,-60.0,214.5,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,31.0,-60.0,214.5,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,37.0,-60.0,214.6,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,43.0,-60.0,214.4,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,49.0,-60.0,214.3,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,55.0,-60.0,214.5,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,61.0,-60.0,214.4,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,67.0,-60.0,214.4,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,73.0,-60.0,214.5,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,79.0,-60.0,213.8,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,85.0,-60.0,213.9,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,91.0,-60.0,213.9,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD004,94.5,-60.0,213.9,WGS84_46N,,Bayan Undraga LLC,5/18/2023,OVD004
OVD005,0.0,-60.0,58.4,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,11.0,-60.0,63.0,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,17.0,-60.0,61.8,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,23.0,-60.0,61.4,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,29.0,-60.0,66.5,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,35.0,-60.0,63.1,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,41.0,-60.0,65.4,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,47.0,-60.0,63.4,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,53.0,-60.0,62.7,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,59.0,-60.0,66.9,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,65.0,-60.0,62.0,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,71.0,-60.0,61.5,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,77.0,-60.0,59.2,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,83.0,-60.0,61.0,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,89.0,-60.0,61.5,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,95.0,-60.0,61.5,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD005,101.5,-60.0,61.5,WGS84_46N,,Bayan Undraga LLC,5/20/2023,OVD005
OVD006,0.0,-60.0,275.0,WGS84_46N,,Bayan Undraga LLC,Hole collapsed,OVD006
OVD006,56.5,-60.0,275.0,WGS84_46N,,Bayan Undraga LLC,Hole collapsed,OVD006
OVD007,0.0,-59.3,236.8,WGS84_46N,,Bayan Undraga LLC,9/19/2024,OVD007
OVD007,30.0,-59.3,237.8,WGS84_46N,,Bayan Undraga LLC,9/19/2024,OVD007
OVD007,60.0,-59.3,234.5,WGS84_46N,,Bayan Undraga LLC,9/19/2024,OVD007
OVD007,93.0,-59.3,234.5,WGS84_46N,,Bayan Undraga LLC,9/19/2024,OVD007
OVD007,100.7,-59.3,234.5,WGS84_46N,,Bayan Undraga LLC,5/24/2023,OVD007
OVD022,0.0,-62.25,146.94,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,5.0,-61.78,146.28,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,10.0,-61.85,146.09,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,15.0,-62.0,146.42,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,20.0,-62.29,146.81,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,25.0,-62.3,147.4,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,30.0,-62.4,147.8,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,35.0,-62.3,147.9,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,40.0,-62.2,147.7,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,45.0,-62.1,148.0,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,50.0,-62.1,148.2,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,55.0,-62.1,148.2,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,60.0,-62.1,148.2,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,65.0,-62.2,148.4,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,70.0,-62.0,148.4,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,75.0,-62.1,148.5,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,80.0,-62.2,148.6,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,85.0,-62.2,148.6,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,90.0,-62.4,148.6,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,95.0,-62.1,148.6,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,100.0,-61.9,148.6,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,105.0,-61.8,148.7,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,110.0,-61.7,148.7,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,115.0,-61.8,148.8,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,120.0,-61.9,148.7,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,125.0,-62.0,149.0,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,130.0,-62.0,149.1,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,135.0,-62.0,149.3,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,140.0,-61.9,149.4,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,145.0,-61.7,149.5,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,150.0,-61.8,149.4,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,155.0,-61.7,149.4,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,160.0,-61.7,149.3,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD022,164.4,-61.7,149.3,WGS84_46N,GY,Ragnarok Investment LLC,11/7/2024,OVD022
OVD023,0.0,-59.6,145.2,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,5.0,-59.5,144.9,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,10.0,-59.4,144.9,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,15.0,-59.1,145.0,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,20.0,-59.3,145.0,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,25.0,-59.4,145.1,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,30.0,-59.4,145.3,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,35.0,-59.0,145.4,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,40.0,-58.9,145.6,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,45.0,-59.0,145.7,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,50.0,-58.7,145.7,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,55.0,-58.5,145.5,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,60.0,-58.7,145.5,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,65.0,-58.4,145.6,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,70.0,-58.4,145.6,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,75.0,-58.5,145.5,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,80.0,-58.3,145.5,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,85.0,-58.5,145.5,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,90.0,-58.6,145.6,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,95.0,-58.6,145.7,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,100.0,-58.4,145.8,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,105.0,-58.4,146.0,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,110.0,-58.2,146.2,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,115.0,-58.0,146.2,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,120.0,-58.2,146.3,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,125.0,-57.9,146.3,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,130.0,-57.9,146.4,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,135.0,-58.0,146.3,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,140.0,-58.0,146.3,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,145.0,-58.1,146.4,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD023,149.9,-58.1,146.4,WGS84_46N,GY,Ragnarok Investment LLC,11/10/2024,OVD023
OVD024,0.0,-64.9,43.7,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,5.0,-64.8,43.5,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,10.0,-64.9,43.4,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,15.0,-64.6,43.3,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,20.0,-64.4,43.3,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,25.0,-64.2,43.4,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,30.0,-64.3,43.4,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,35.0,-64.3,43.7,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
OVD024,40.0,-64.1,43.7,WGS84_46N,GY,Ragnarok Investment LLC,15/11/2024,OVD024
