sample_id,alt_ids,hole_id_norm,depth_from_m,depth_to_m,depth_mid_m,sample_source,year,petrographer_lab,thin_section,polished_thin_section,asd,xrd,eds,fluid_incl,epma,field_lithology,petro_lithology,iogas_lithology,rock_group,iogas_no,x_utm,y_utm,z_rl,coord_source,qa_flags,source_files
40645,,OVD005,71.0,,71.0,drill core,2023,MIRES,0,1,0,0,1,0,0,gabbro,Gabbro,,gabbro / gabbronorite / norite,25,722051.39,5144347.48,1774.57,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41011,,OVD007,50.0,,50.0,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,26,721995.29,5144402.98,1792.49,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41031,,OVD007,55.9,,55.9,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,27,721992.81,5144401.27,1787.41,desurvey,Crawford 2025 caveat: the analyst was unsure the provided core photo matches the thin section [source: OVD007@55.9m],Yambat_Petrographic_Master_Data__All.csv
41025,,OVD007,58.2,,58.2,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,28,721991.85,5144400.59,1785.43,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41026,,OVD007,87.8,,87.8,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,29,721979.55,5144391.82,1759.98,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40715,,OVD007,98.2,98.2,98.2,drill core,2023,MIRES,0,1,0,0,0,0,0,gabbro,schist,,schist / phyllite,30,721975.23,5144388.73,1751.04,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41028,,OVD008,27.3,,27.3,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,31,722094.79,5144244.52,1815.41,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41032,,OVD008,39.5,,39.5,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,32,722091.18,5144242.24,1803.98,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41013,,OVD008,40.1,,40.1,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,33,722091.0,5144242.12,1803.42,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41029,,OVD008,60.3,,60.3,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,34,722085.02,5144238.37,1784.5,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40763,,OVD008,84.5,,84.5,drill core,2023,NUM,0,1,0,0,0,0,0,gabbro,Gabbro,,gabbro / gabbronorite / norite,35,722077.9,5144233.91,1761.8,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41030,,OVD008,88.9,,88.9,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,36,722076.61,5144233.1,1757.67,desurvey,Crawford 2025 caveat: this sample lacks sulfides despite the 2.5 %S assay for the interval [source: OVD008@88.9m],Yambat_Petrographic_Master_Data__All.csv
41024,,OVD008,90.5,,90.5,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Diorite,,diorite / quartz diorite,37,722076.15,5144232.81,1756.17,desurvey,Crawford 2025 caveat: the assay for this hole/depth indicates a strongly sulfidic rock (~30 % pyrrhotite) whereas the thin section is a finely hornblende-phyric basalt (dyke?) with <2 % sulfides [source: OVD008@90.5m],Yambat_Petrographic_Master_Data__All.csv
41022,,OVD009,11.3,,11.3,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,38,722160.4,5144170.61,1836.42,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41019,,OVD009,17.2,,17.2,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,39,722159.37,5144169.94,1830.65,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40915,,OVD009,72.0,,72.0,drill core,2023,MIRES,0,1,0,0,1,0,0,gossan,Gabbro,,gabbro / gabbronorite / norite,40,722149.25,5144164.68,1777.05,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41018,,OVD009,80.8,,80.8,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,41,722147.63,5144163.83,1768.44,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41021,,OVD009,126.7,,126.7,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,42,722139.2,5144159.36,1723.54,desurvey,"D7 cross-reference: possible duplicate of sample 43816 (OVD009 @ 126.6 m, 0.1 m away, alt ids `43816 (OVD-009-126.6)`) — verify before treating the two as independent observations",Yambat_Petrographic_Master_Data__All.csv
41020,,OVD009,143.0,,143.0,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,габбронорит,Peridotite,gabbro / gabbronorite / norite,43,722136.18,5144157.82,1707.6,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41015,,OVD009,149.5,,149.5,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,44,722134.98,5144157.2,1701.24,desurvey,"D7 cross-reference: possible duplicate of sample 41033 (OVD009 @ 149.8 m, 0.3 m away) — verify before treating the two as independent observations",Yambat_Petrographic_Master_Data__All.csv
41033,,OVD009,149.8,,149.8,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,Foid Gabbro,gabbro / gabbronorite / norite,45,722134.93,5144157.17,1700.95,desurvey,"D7 cross-reference: possible duplicate of sample 41015 (OVD009 @ 149.5 m, 0.3 m away) — verify before treating the two as independent observations",Yambat_Petrographic_Master_Data__All.csv
41023,,OVD009,151.6,,151.6,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,Alkalic Gabbro,gabbrodiorite,46,722134.6,5144156.99,1699.19,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41017,,OVD009,161.0,,161.0,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,47,722132.86,5144156.1,1689.99,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41016,,OVD009,171.5,,171.5,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,48,722130.95,5144155.04,1679.72,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41034,,OVD009,190.8,,190.8,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,49,722127.44,5144153.12,1660.84,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41014,,OVD009,195.2,,195.2,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,50,722126.59,5144152.77,1656.54,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42899,CRS01A-81,CRS01A,81.0,,81.0,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,altered gneiss,,sediment / metasediment,,725251.11,5150594.08,1914.82,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43161,CRS01A-184.32,CRS01A,184.32,,184.32,drill core,2024,,0,1,1,0,0,0,0,Meta sediment,Meta sediment,,sediment / metasediment,,725268.78,5150624.69,1817.74,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42923,CRS01A-104.4,CRS01A,104.4,,104.4,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,Quartz vein,,vein / quartz,,725255.11,5150601.01,1892.84,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42931,CRS01A-111.8,CRS01A,111.8,,111.8,drill core,2024,,0,1,1,0,0,0,0,Rhyolite,Rhyolite,,volcanic / subvolcanic,,725256.38,5150603.2,1885.88,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42936,CRS01A-114.8,CRS01A,114.8,,114.8,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,Meta sediment,,sediment / metasediment,,725256.89,5150604.09,1883.06,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42951,CRS01A-124.1,CRS01A,124.1,,124.1,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,Meta sediment,,sediment / metasediment,,725258.48,5150606.85,1874.32,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43166,CRS01A-187.8,CRS01A,187.8,,187.8,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,Meta sediment,,sediment / metasediment,,725269.38,5150625.72,1814.47,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43167,CRS01A-188.4,CRS01A,188.4,,188.4,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,Serpentinite,,peridotite / ultramafic,,725269.48,5150625.89,1813.9,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42851,CRS01A-41.4,CRS01A,41.4,,41.4,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,gneiss,,sediment / metasediment,,725244.34,5150582.35,1952.04,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42865,CRS01A-53.4,CRS01A,53.4,,53.4,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,gneiss,,sediment / metasediment,,725246.39,5150585.91,1940.76,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42874,CRS01A-61.3,CRS01A,61.3,,61.3,drill core,2024,,0,1,1,1,0,1,0,Meta sediment,,,sediment / metasediment,,725247.74,5150588.25,1933.34,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42908,CRS01A-90.5,CRS01A,90.5,,90.5,drill core,2024,,0,1,1,0,0,1,0,Meta sediment,Serpentinite,,peridotite / ultramafic,,725252.74,5150596.9,1905.9,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43523,,CRS02,11.4,11.4,11.4,drill core,2025,SHUTIS,0,0,0,0,0,0,0,Rhyolite,Хувирсан пироксенит,,peridotite / ultramafic,,725372.39,5150596.49,1996.59,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43542,,CRS02,28.0,28.0,28.0,drill core,2025,SHUTIS,0,1,0,0,0,0,0,Rhyolite,Риолит‑порфир,,volcanic / subvolcanic,,725372.94,5150590.17,1981.25,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43554,,CRS02,38.2,38.2,38.2,drill core,2025,SHUTIS,0,0,0,0,0,0,0,Listvenite,Кварц‑карбонат метасоматит,,skarn / metasomatite,,725373.27,5150586.28,1971.83,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43569,,CRS02,54.7,54.7,54.7,drill core,2025,SHUTIS,0,0,0,0,0,0,0,Metasediment,метасоматит,,skarn / metasomatite,,725373.78,5150579.98,1956.59,desurvey,"D7 cross-reference: possible duplicate of sample 43570 (CRS02 @ 55 m, 0.3 m away) — verify before treating the two as independent observations",Yambat_Petrographic_Master_Data__All.csv
43570,,CRS02,55.0,55.0,55.0,drill core,2025,SHUTIS,0,0,0,0,0,0,0,Metasediment,Плагиоклаз-кварц- кальцитын метасоматит,,skarn / metasomatite,,725373.79,5150579.87,1956.31,desurvey,"D7 cross-reference: possible duplicate of sample 43569 (CRS02 @ 54.7 m, 0.3 m away) — verify before treating the two as independent observations",Yambat_Petrographic_Master_Data__All.csv
43598,,CRS02,89.9,89.9,89.9,drill core,2025,SHUTIS,0,0,0,0,0,0,0,Breccia,Амфиболит,,amphibolite / metabasite,,725374.71,5150566.5,1924.08,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43632,,CRS03,17.7,17.7,17.7,drill core,2025,SHUTIS,0,1,0,0,0,0,0,Metasediment,Пироксент роговик,,hornfels / spotted rock,,724869.27,5150542.04,1960.74,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43664,,CRS03,51.8,51.8,51.8,drill core,2025,SHUTIS,0,0,0,0,0,0,0,Epidote vein,Mетасоматоз хувиралд хүчтэй орсон андезидацит,,volcanic / subvolcanic,,724869.64,5150524.5,1931.5,desurvey,,Yambat_Petrographic_Master_Data__All.csv
43689,,CRS03,89.4,89.4,89.4,drill core,2025,SHUTIS,0,0,0,0,0,0,0,Metasediment,кварц-карбонат-эпидотийн судлаар зүсэгдсэн эпидот хлоритын метасоматит,,skarn / metasomatite,,724870.03,5150504.94,1899.39,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42513,OVD010-97.7,OVD010,97.7,,97.7,drill core,2024,,1,0,0,0,0,0,0,Diorite,Gabbrodiorite,,gabbrodiorite,,722217.21,5144202.92,1767.51,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42539,OVD010-226.3,OVD010,226.3,,226.3,drill core,2024,,1,0,0,0,0,0,0,Siltstone & Sandstone,Gabbro,,gabbro / gabbronorite / norite,,722169.16,5144178.69,1650.71,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42553,OVD010-305.6,OVD010,305.6,,305.6,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,,722139.19,5144164.84,1578.61,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42027,OVD011-101.5,OVD011,101.5,,101.5,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Diorite,,diorite / quartz diorite,,722113.16,5144247.39,1750.91,desurvey,Crawford 2025 caveat: the rock lacks sulfides and there is no trace of chromite to account for the high-Cr assay [source: OVD021@101.5m],Yambat_Petrographic_Master_Data__All.csv
42030,OVD011-107.4,OVD011,107.4,,107.4,drill core,2024,,1,0,0,0,0,0,0,Meta sediment,Silstone,,sediment / metasediment,,722111.23,5144246.13,1745.48,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42031,OVD011-109.1,OVD011,109.1,,109.1,drill core,2024,,0,1,0,0,0,0,0,Spotted Rock,Silstone,,sediment / metasediment,,722110.68,5144245.77,1743.92,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42032,OVD011-109.6,OVD011,109.6,,109.6,drill core,2024,,0,1,0,0,0,0,0,Spotted Rock,Silstone,,sediment / metasediment,,722110.52,5144245.66,1743.45,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42043,OVD011-126.5,OVD011,126.5,,126.5,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Silstone,,sediment / metasediment,,722105.05,5144242.03,1727.88,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42049,OVD011-132.8,OVD011,132.8,,132.8,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Olivine gabbro,,olivine gabbro / melagabbro,,722103.02,5144240.69,1722.07,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42086,OVD011-189.2,OVD011,189.2,,189.2,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,,722084.82,5144228.94,1670.0,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42111,OVD014-35.9-36.1,OVD014,35.9,36.1,36.0,drill core,2024,,0,1,0,0,0,0,0,Spotted Rock,Skarn,,skarn / metasomatite,,722095.68,5144290.4,1810.32,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42145,OVD014-88.3,OVD014,88.3,,88.3,drill core,2024,,1,0,0,0,0,0,0,Diabase,Diorite,,diorite / quartz diorite,,722073.47,5144275.38,1765.41,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42147,OVD014-89.8 (A) | OVD014-89.8 (B),OVD014,89.8,,89.8,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,,722072.83,5144274.95,1764.12,desurvey,"COVERAGE G11: this single row MERGES two physically distinct thin sections, `OVD014-89.8 (A) | OVD014-89.8 (B)`, that the master sheet records at the same hole and depth. Their descriptions are all attached to this one sample_id; they are NOT split (unlike OVD015-175.5 (A)/(B), which carry separate tags 42388/42389)",Yambat_Petrographic_Master_Data__All.csv
42158,OVD014-102.3,OVD014,102.3,,102.3,drill core,2024,,0,1,0,0,0,0,0,Gabbro Mineralized,Peridodtite,,peridotite / ultramafic,,722067.48,5144271.45,1753.38,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42164,OVD014-109.6,OVD014,109.6,,109.6,drill core,2024,,1,0,0,0,0,0,0,Diabase,Gabbrodiorite,,gabbrodiorite,,722064.36,5144269.42,1747.1,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42150,OVD014-95.8-95.9,OVD014,95.8,95.9,95.85,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,,722070.24,5144273.25,1758.92,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42311,OVD015-94.82,OVD015,94.82,,94.82,drill core,2024,,0,1,0,0,0,0,0,Spotted rock,schist,,schist / phyllite,,722096.08,5144132.05,1764.3,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42317,OVD015-102.4,OVD015,102.4,,102.4,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,,722099.91,5144133.89,1758.02,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42318,OVD015-105.1-105.2,OVD015,105.1,105.2,105.15,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Diorite,,diorite / quartz diorite,,722101.31,5144134.55,1755.74,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42326,OVD015-116.1,OVD015,116.1,,116.1,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Gabbrodiorite,,gabbrodiorite,,722106.87,5144137.15,1746.68,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42349,OVD015-140.6,OVD015,140.6,,140.6,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,,722119.39,5144142.8,1726.39,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42368,OVD015-158.7,OVD015,158.7,,158.7,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,,722128.68,5144146.86,1711.4,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42376,OVD015-165.5,OVD015,165.5,,165.5,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,,722132.16,5144148.4,1705.76,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42392,OVD015-177.4,OVD015,177.4,,177.4,drill core,2024,,0,1,0,0,0,0,0,Gabbro Mineralized,Peridodtite,,peridotite / ultramafic,,722138.23,5144151.14,1695.9,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42388,OVD015-175.5 (A),OVD015,175.5,,175.5,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,,722137.27,5144150.7,1697.48,desurvey,"D7 cross-reference: possible duplicate of sample OVD015@175.4 (OVD015 @ 175.4 m, 0.1 m away, alt ids `OVD015-175.4`) — verify before treating the two as independent observations; D7 cross-reference: possible duplicate of sample 42389 (OVD015 @ 175.5 m, 0 m away, alt ids `OVD015-175.5 (B)`) — verify before treating the two as independent observations",Yambat_Petrographic_Master_Data__All.csv
42389,OVD015-175.5 (B),OVD015,175.5,,175.5,drill core,2024,,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,,722137.27,5144150.7,1697.48,desurvey,"D7 cross-reference: possible duplicate of sample 42388 (OVD015 @ 175.5 m, 0 m away, alt ids `OVD015-175.5 (A)`) — verify before treating the two as independent observations",Yambat_Petrographic_Master_Data__All.csv
42615,OVD020-60.6,OVD020,60.6,,60.6,drill core,2024,,0,1,0,0,0,0,0,Unmineralized gabbro,Gabbro,,gabbro / gabbronorite / norite,,722108.13,5144148.09,1787.02,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42638,OVD020-101.4,OVD020,101.4,,101.4,drill core,2024,,0,1,0,0,0,0,0,Unmineralized gabbro,Gabbro,,gabbro / gabbronorite / norite,,722100.23,5144145.95,1747.05,desurvey,,Yambat_Petrographic_Master_Data__All.csv
42653,OVD020-124.2,OVD020,124.2,,124.2,drill core,2024,,0,1,0,0,0,0,0,Spotted rock,Silstone,,sediment / metasediment,,722095.92,5144144.77,1724.7,desurvey,,Yambat_Petrographic_Master_Data__All.csv
47154,OVD022-8.7,OVD022,8.7,8.9,8.8,drill core,2024,Altantsetseg,0,1,0,0,0,0,0,Breccia,Breccia,,breccia / fault rock,,722016.01,5144366.15,1826.68,desurvey,,Yambat_Petrographic_Master_Data__All.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv
47155,OVD022-36.9,OVD022,36.9,37.0,36.95,drill core,2024,Altantsetseg,0,1,0,0,0,0,0,Gabbro mineralized,Peridotite,,peridotite / ultramafic,,722023.14,5144355.13,1801.78,desurvey,"D5: the report that describes this sample names the interval 37-39 m (`OVD22-37-39 (47155)`), but the master workbook stores it at 36.9-37 m — a 0.1 m disagreement inside the sources themselves (the phase sheet's sample From/To vs the assay interval on the same row). Stored values are the master's; treat the depth as uncertain to +/-0.1 m",Yambat_Petrographic_Master_Data__All.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv
47156,OVD022-45.4,OVD022,45.4,45.5,45.45,drill core,2024,Altantsetseg,0,1,0,0,0,0,0,Gabbro mineralized,Peridotite,,peridotite / ultramafic,,722025.25,5144351.77,1794.26,desurvey,,Yambat_Petrographic_Master_Data__All.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv
47157,OVD022-55.6,OVD022,55.6,55.7,55.65,drill core,2024,Altantsetseg,0,1,0,0,0,0,0,Gabbro mineralized,Peridotite,,peridotite / ultramafic,,722027.77,5144347.72,1785.25,desurvey,,Yambat_Petrographic_Master_Data__All.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv
