sample_id,hole_id_norm,depth_from_m,depth_to_m,Au_ppm__PGM_ICP27,Pt_ppm__PGM_ICP27,Pd_ppm__PGM_ICP27,Ag_ppm__ME_ICP61,Al_pct__ME_ICP61,As_ppm__ME_ICP61,Ba_ppm__ME_ICP61,Be_ppm__ME_ICP61,Bi_ppm__ME_ICP61,Ca_pct__ME_ICP61,Cd_ppm__ME_ICP61,Co_ppm__ME_ICP61,Cr_ppm__ME_ICP61,Cu_ppm__ME_ICP61,Cu_pct__Cu_OG62,Fe_pct__ME_ICP61,Ga_ppm__ME_ICP61,K_pct__ME_ICP61,La_ppm__ME_ICP61,Li_ppm__ME_ICP61,Mg_pct__ME_ICP61,MgO_pct__ME_ICP61,Mn_ppm__ME_ICP61,Mo_ppm__ME_ICP61,Na_pct__ME_ICP61,Ni_ppm__ME_ICP61,Ni_pct_ppm__Ni_OG62,P_pct__ME_ICP61,Pb_ppm__ME_ICP61,S_pct__ME_ICP61,Sb_ppm__ME_ICP61,Sc_ppm__ME_ICP61,Sr_ppm__ME_ICP61,Th_ppm__ME_ICP61,Ti_pct__ME_ICP61,Tl_ppm__ME_ICP61,U_ppm__ME_ICP61,V_ppm__ME_ICP61,W_ppm__ME_ICP61,Zn_ppm__ME_ICP61,Zr_ppm__IC40M,Se_PPM__IC40M,Rb_PPM__IC40M,Y_PPM__IC40M,Nb_PPM__IC40M,In_PPM__IC40M,Sn_PPM__IC40M,Te_PPM__IC40M,Cs_PPM__IC40M,Ce_PPM__IC40M,Tb_PPM__IC40M,Yb_PPM__IC40M,Lu_PPM__IC40M,Hf_PPM__IC40M,Ta_PPM__IC40M,Pr_PPM__IC90M,Nd_PPM__IC90M,Sm_PPM__IC90M,Eu_PPM__IC90M,Gd_PPM__IC90M,Dy_PPM__IC90M,Ho_PPM__IC90M,Er_PPM__IC90M,Tm_PPM__IC90M,Ge_PPM__IC90M,Al2O3_pct__ME_XRF26,BaO_pct__ME_XRF26,CaO_pct__ME_XRF26,Cr2O3_pct__ME_XRF26,Fe2O3_pct__ME_XRF26,K2O_pct__ME_XRF26,MgO_pct__ME_XRF26,MnO_pct__ME_XRF26,Na2O_pct__ME_XRF26,P2O5_pct__ME_XRF26,SO3_pct__ME_XRF26,SiO2_pct__ME_XRF26,SrO_pct__ME_XRF26,TiO2_pct__ME_XRF26,Total_pct__ME_XRF26,PbO_pct__XRF76V,CuO_pct__XRF76V,TiO2_pct__XRF76V,V2O5_pct__XRF76V,ZnO_pct__XRF76V
40530,OVD003,157.5,,0.037,0.04,0.048,2.48,6.49,5,154,5,1,3.83,1,152,653,3680,0.368,11.34,14,0.17,11.9,25,8.81,14.60698,1264,2,,2793,0.2793,0.1,14,2.87,0.1,22,390,1.1,0.58,0.5,0.46,138,1,100,90.3,,3.9,19.9,5,0.2,2,0.83,0.4,28.3,0.6,1.9,0.3,3,0.5,3.73,16.5,4.2,1.23,4.32,3.34,0.78,2.21,0.3,2,11.38,0.12,5.13,0.09,14.31,0.32,13.59,0.17,1.62,0.25,4.16,41.86,,0.92,,0.01,0.15,0.92,0.01,0.01
40574,OVD004,28.0,,0.048,0.03,0.041,1.19,6.65,5,132,5,0.5,4.04,1.1,107,485,1704,0.1704,10.69,12,0.3,9.2,25,6.1,10.1138,935,2,,1607,0.1607,0.08,14,1.23,0.2,22,411,0.9,0.5,0.5,0.46,124,1,77,91.3,,1.9,15.7,4,0.2,1,0.9,0.9,21.7,0.51,1.6,0.22,2,0.5,2.8,12.9,3.2,1.06,3.42,3.1,0.61,1.59,0.24,2,10.62,0.04,5.54,0.07,14.27,0.21,8.71,0.13,1.74,0.21,2.52,47.86,,0.86,,0.01,0.17,0.86,0.03,0.01
40579,OVD004,36.0,,0.002,0.01,0.004,0.22,12.53,13,289,1,0.09,0.61,0.34,40.2,138,224,0.0224,8.27,22.2,1.78,5.3,94,2.66,4.41028,888,3.36,1.49,567,0.0567,0.077,8.2,0.49,0.39,30.2,468,1.1,0.5,0.21,1.63,191,0.6,107,73.2,4,21.3,13.3,3.2,0.09,1,0.09,2,13.4,0.46,1.8,0.26,2.26,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40605,OVD004,91.0,,0.01,0.01,0.001,0.43,8.85,1,572,1.4,0.04,4.67,0.09,22.7,64,25.4,0.0025399999999999997,6.05,20.1,1.19,45.1,26,2.45,4.0621,986,0.54,3.13,40.7,0.004070000000000001,0.2711,7.8,0.26,0.08,16.4,1220,5.1,0.84,0.06,1.4,175,0.3,95,166,2,13.1,25.5,8.5,0.06,1.2,0.05,1,103,0.97,2.1,0.32,5.39,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41027,OVD005,13.4,,0.008,0.01,0.005,0.26,3.96,5,165,5,0.1,7.19,0.2,88.5,967,506,0.0506,7.27,8,0.94,5.7,30,11.06,18.33748,1154,2,,809,0.0809,0.05,7,0.01,0.1,14,305,0.7,0.3,0.5,0.73,81,1,77,37.3,,4.7,8.9,2,0.2,1,0.07,1.5,18.8,0.39,1.2,0.16,1,0.5,2.57,11.2,2.5,0.79,2.53,2.06,0.48,1.32,0.17,1,6.72,0.04,8.97,0.14,10.88,0.23,18.19,0.17,0.71,0.13,0.04,37.27,,0.51,,0.01,0.04,0.51,0.01,0.01
40628,OVD005,40.5,,0.024,0.02,0.029,1.98,3.56,5,172,5,0.8,2.42,0.7,195,1372,2952,0.2952,12.34,8,0.84,4.1,15,14.98,24.83684,1378,2,,3195,0.3195,0.06,22,2.55,0.1,13,234,0.5,0.32,0.5,0.12,79,1,103,38,,5.2,7.8,2,0.2,1,0.51,1.1,15.2,0.33,1,0.15,1,0.5,2.06,9.4,2.1,0.71,2.05,1.97,0.4,1.2,0.14,1,5.94,0.07,3.03,0.17,16.41,0.32,24.62,0.19,0.59,0.18,4.33,38.32,,0.46,,0.01,0.09,0.46,0.01,0.01
40635,OVD005,53.0,,0.028,0.02,0.027,1.96,3.69,5,115,5,0.8,2.74,0.5,173,961,2682,0.2682,10.83,8,0.78,4.6,24,13.82,22.91356,1259,2,,2468,0.2468,0.05,234,2.55,0.2,13,271,0.7,0.3,0.5,0.2,65,1,97,51.1,,5.3,9.2,2,0.2,1,0.57,1.1,16.1,0.35,1.1,0.18,1,0.5,2.15,9.9,2.1,0.69,2.65,2.06,0.41,1.17,0.14,1,6.73,0.14,3.63,0.15,16.32,0.36,23.59,0.2,0.72,0.11,4.23,39.35,,0.53,,0.01,0.16,0.53,0.01,0.01
40645,OVD005,71.0,,0.009,0.01,0.016,0.55,5.25,9,139,5,0.3,3.97,0.2,118,933,2302,0.2302,9.8,11,0.49,5.7,43,12,19.896,1352,17,,1330,0.133,0.07,25,0.9,1.1,16,381,0.7,0.45,0.5,0.24,98,1,201,79,,8.2,12.4,3,0.2,1,0.18,2,19.5,0.47,1.5,0.22,2,0.5,2.7,12.1,3,0.92,3.41,2.91,0.62,1.58,0.22,1,9,0.06,4.96,0.13,12.66,0.49,19.19,0.19,0.88,0.2,1.8,42.36,,0.73,,0.01,0.05,0.73,0.01,0.01
41011,OVD007,50.0,,0.021,0.02,0.021,1.35,3.74,5,112,5,0.5,2.76,0.5,157,1298,1739,0.1739,11.83,10,0.9,6.4,18,14.95,24.7871,1383,2,,2108,0.2108,0.05,13,1.52,0.3,11,288,0.5,0.31,0.5,0.42,89,1,109,39.6,,7.4,10.6,2,0.2,1,0.32,1,15.5,0.33,1,0.16,1,0.5,2.12,8.8,2,0.61,2.15,1.97,0.36,1,0.13,3,5.83,0.01,3.65,0.17,15.27,0.39,22.76,0.22,0.49,0.13,2.98,39.95,,0.5,,0.01,0.06,0.5,0.01,0.01
41031,OVD007,55.9,,0.004,0.01,0.01,1.14,7.45,5,343,5,0.2,4.03,0.2,88.7,476,716,0.0716,9.07,16,0.78,6.1,39,8.55,14.1759,1601,2,,785,0.0785,0.05,7,1.4,0.2,30,856,0.6,0.28,0.5,0.39,198,1,87,20.2,,7.3,12.4,1,0.2,1,0.23,0.5,15.5,0.41,1.3,0.19,1,0.5,2.1,10.1,2.4,0.92,2.7,2.54,0.46,1.18,0.2,4,13.97,0.05,5.52,0.06,12.34,0.44,13.8,0.23,1.73,0.14,2.51,41.9,,0.46,,0.01,0.04,0.46,0.01,0.01
41025,OVD007,58.2,,0.007,0.01,0.012,1.18,5.2,5,109,5,0.1,3.25,0.2,109,1150,381,0.0381,8.98,14,0.76,8.7,33,12.46,20.65868,1292,2,,953,0.0953,0.08,42,0.83,0.3,16,314,0.7,0.45,0.5,0.4,114,1,94,75.2,,9.4,14.5,3,0.2,1,0.15,2.4,21.4,0.52,1.5,0.21,2,0.5,2.94,12.2,2.9,0.94,3.19,2.9,0.57,1.5,0.22,3,8.8,0.06,5.28,0.11,11.81,0.33,18.15,0.2,1.2,0.15,1.57,44.24,,0.54,,0.01,0.09,0.54,0.02,0.01
41026,OVD007,87.8,,0.013,0.01,0.01,0.33,9,9,222,5,0.1,3.15,0.3,57.2,301,597,0.0597,7.6,17,0.66,12.9,44,4.33,7.179139999999999,1186,2,,620,0.062,0.13,16,0.73,0.2,22,553,1.7,0.66,0.5,0.88,144,1,95,136,,16.6,30.1,4,0.2,1,0.16,1,34.7,1.01,2.8,0.43,3,0.5,4.97,22,5.4,1.58,5.53,5.64,1.46,3.35,0.51,2,16.8,0.06,4.5,0.04,10.22,1.12,7.06,0.16,2.32,0.3,1.43,50.09,,1,,0.01,0.05,1,0.02,0.01
40715,OVD007,98.2,98.2,0.002,0.01,0.001,0.02,8.25,6,85,0.7,0.04,5.78,0.07,21.2,49,79.6,0.00796,6.48,17.7,0.48,9.6,80,2.37,3.92946,2335,0.62,3,37.1,0.00371,0.0984,4.3,0.32,0.14,22.3,386,1,0.64,0.05,0.7,192,0.4,95,91.3,2,8.6,28.5,2.3,0.07,0.9,0.05,1,23.7,0.8,2.9,0.44,3.04,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41028,OVD008,27.3,,0.001,0.01,0.01,0.12,7.61,5,261,5,0.1,4.82,0.2,46.7,498,31,0.0031,6.57,16,0.77,16.4,17,5.65,9.3677,1149,2,,204,0.0204,0.1,7,0.01,0.2,24,626,1.7,0.46,0.5,0.31,133,1,66,93.1,,11.1,20.6,4,0.2,1,0.22,0.4,39.8,0.71,2.3,0.32,3,0.5,4.89,21.3,4.7,1.43,4.76,4.1,0.82,2.33,0.33,2,13.55,0.04,6.21,0.06,9.36,0.71,9.83,0.16,2.97,0.24,0.01,47.96,,0.69,,0.01,0.01,0.69,0.01,0.01
41032,OVD008,39.5,,0.001,0.01,0.01,0.06,7.01,5,228,5,0.1,5.36,0.2,57.8,628,35,0.0035,6.99,14,0.68,12.2,25,6.95,11.5231,1248,2,,237,0.0237,0.09,6,0.12,0.2,27,638,1.3,0.5,0.5,0.48,145,6,66,105,,8.3,17.5,3,0.2,1,0.52,0.5,30.4,0.59,1.7,0.27,2,0.5,3.76,17.1,3.9,1.26,4.05,3.38,0.68,2.07,0.29,2,12.69,0.03,7.01,0.09,10.45,0.61,12.21,0.17,2.28,0.21,0.17,46.44,,0.77,,0.01,0.01,0.77,0.01,0.01
41013,OVD008,40.1,,0.001,0.01,0.01,0.02,7.21,5,229,5,0.1,5.66,0.2,62.7,712,34,0.0034,7.49,15,0.66,11.9,22,7.64,12.667119999999999,1321,2,,278,0.0278,0.09,9,0.1,0.1,27,632,1.2,0.5,0.5,0.36,144,1,68,84,,8.6,16.9,3,0.2,1,0.2,0.5,29.7,0.57,1.8,0.26,2,0.5,3.76,16.8,3.7,1.23,4.11,3.41,0.67,1.92,0.25,2,12.67,0.03,7.23,0.09,10.47,0.63,12.53,0.17,1.94,0.2,0.14,46.93,,0.76,,0.01,0.01,0.76,0.01,0.01
41029,OVD008,60.3,,0.001,0.01,0.01,0.41,5.4,5,152,5,0.1,4.27,0.2,72.6,874,44,0.0044,7.72,11,0.42,9.5,31,9.69,16.066019999999998,1299,2,,423,0.0423,0.08,8,0.06,0.1,23,399,1,0.39,0.5,0.42,118,1,75,99.7,,5.1,12.6,2,0.2,1,0.22,0.8,24.6,0.43,1.4,0.23,2,0.5,3.02,14,3,0.96,3.36,2.84,0.56,1.47,0.2,1,9.93,0.02,5.81,0.13,11.8,0.33,17.37,0.19,1.13,0.19,0.24,44.77,,0.65,,0.01,0.01,0.65,0.02,0.01
40763,OVD008,84.5,,0.053,0.04,0.01,3.24,4.7,5,120,5,1.7,3.05,1.7,250,901,5492,0.5492,13.32,9,0.31,9.2,20,10.37,17.193459999999998,1166,2,,3576,0.3576,0.07,38,3.88,0.1,13,308,1.4,0.38,0.5,0.38,100,1,101,69.9,,5.3,14.5,2,0.2,2,0.93,0.6,22.1,0.46,1.4,0.2,1,0.5,3.12,12.7,3.5,0.87,2.67,2.51,0.51,1.69,0.21,1,7.91,0.02,4.13,0.16,19.64,0.39,17.74,0.18,1.02,0.17,5.43,39.66,,0.63,,0.01,0.15,0.63,0.01,0.01
41030,OVD008,88.9,,0.018,0.02,0.01,1.33,6.18,5,167,5,0.4,3.78,0.7,175,588,2593,0.2593,10.27,13,0.34,12.1,38,7.63,12.65054,1066,2,,2542,0.2542,0.11,27,2.57,0.1,17,497,1.3,0.55,0.5,0.57,123,1,83,43.8,,6.1,20.8,3,0.2,2,0.33,0.9,29.3,0.61,1.9,0.27,2,0.5,4.21,17.5,4.5,1.13,3.88,3.86,0.67,2.52,0.33,2,10.32,0.05,5.11,0.1,15.63,0.41,13.2,0.17,1.55,0.27,4.17,43.22,,0.82,,0.01,0.05,0.82,0.01,0.01
41024,OVD008,90.5,,0.053,0.06,0.01,6.25,6.8,9,107,5,3.7,1.36,3.7,397,61,10000,1.2,20.17,17,0.51,7.1,65,1.41,2.33778,786,3,,9086,0.9086,0.01,101,10.98,0.1,14,209,1.5,0.39,0.5,0.97,110,3,116,27.7,,11.9,20.6,3,0.5,4,2.11,0.8,17.3,0.54,2.1,0.32,3,0.5,2.57,10.7,3.1,0.77,2.95,3.68,0.66,2.55,0.35,2,11.94,0.03,1.81,0.01,29.55,0.67,2.69,0.12,3.67,0.09,7.23,38.28,,0.59,,0.01,0.08,0.59,0.01,0.01
41022,OVD009,11.3,,0.001,0.01,0.44,0.19,7.26,6,278,0.7,0.04,5.4,0.03,34.2,283,30.1,0.00301,5.65,15.2,0.43,16.3,67,4.32,7.16256,790,0.9,2.23,140,0.014,0.1036,3.2,0.01,0.1,20.6,312,1.4,0.35,0.05,0.57,116,0.1,64,59,2,9,13.7,2.4,0.04,0.4,0.05,1,37.6,0.49,1.3,0.18,0.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41019,OVD009,17.2,,0.001,0.01,0.01,0.02,7.62,2,142,0.6,0.04,6.47,0.06,44.8,293,42.4,0.00424,6.82,15.7,0.47,12.1,30,6.08,10.080639999999999,1074,0.73,2.26,177,0.0177,0.0974,1.9,0.01,0.05,29.7,569,1,0.54,0.04,0.43,167,0.1,69,72.8,2,7.8,17.5,3,0.05,0.5,0.05,1,29.7,0.59,1.8,0.26,0.54,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40915,OVD009,72.0,,0.001,0.01,0.001,0.02,7.26,3,174,0.6,0.04,5.77,0.07,51.1,417,44.2,0.00442,7.25,15.4,0.45,13.9,20,7.15,11.8547,1269,0.63,2.38,203,0.0203,0.1167,1.6,0.09,0.05,29.1,673,1.2,0.63,0.02,0.53,167,0.1,78,84.6,2,6.4,20.7,3.7,0.05,0.6,0.05,1,34.2,0.66,2.1,0.3,0.58,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41018,OVD009,80.8,,0.001,0.01,0.001,0.02,6.03,1,187,0.6,0.04,5.17,0.06,51.8,440,36.3,0.0036299999999999995,7.07,13.9,0.49,13.1,21,7.36,12.20288,1233,0.66,2.3,210,0.021,0.0963,1.9,0.11,0.06,31.7,621,1.4,0.5,0.03,0.45,157,0.1,79,87.3,2,6.5,19.7,3.5,0.05,0.6,0.05,1,30.9,0.63,2,0.3,0.57,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
