hole_id_raw,hole_id_norm,changed,seen_in
OVD026,OVD026,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
OVD027,OVD027,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
OVD028,OVD028,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
OVD029,OVD029,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
OVD030,OVD030,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD030A,OVD030A,0,Collar_all_combined; Survey_all_YMB
OVD031,OVD031,0,Collar_all_combined; Survey_all_YMB
OVD032,OVD032,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD033,OVD033,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD034,OVD034,0,Collar_all_combined; Survey_all_YMB
OVD035,OVD035,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD036,OVD036,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD037,OVD037,0,Collar_all_combined; Survey_all_YMB
OVD038,OVD038,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD039,OVD039,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD040,OVD040,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD041,OVD041,0,Collar_all_combined; Survey_all_YMB
OVD042,OVD042,0,Collar_all_combined; Survey_all_YMB
OVD043,OVD043,0,Collar_all_combined; Survey_all_YMB
OVD044,OVD044,0,Collar_all_combined; Survey_all_YMB
OVD045,OVD045,0,Collar_all_combined; Survey_all_YMB
OVD046,OVD046,0,Collar_all_combined; Survey_all_YMB
OVD047,OVD047,0,Collar_all_combined; Survey_all_YMB
OVD048,OVD048,0,Collar_all_combined; Survey_all_YMB
OVD049,OVD049,0,Collar_all_combined; Survey_all_YMB
OVD050,OVD050,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD051,OVD051,0,Collar_all_combined; Survey_all_YMB
OVD052,OVD052,0,Collar_all_combined; Survey_all_YMB
OVD11,OVD011,1,
OVD14,OVD014,1,English 41 Petrographic and Mineragraphic description.docx
OVD15,OVD015,1,
OVD20,OVD020,1,English 41 Petrographic and Mineragraphic description.docx; English Petrographic and Mineragraphic Descriptions. 6.docx
OVD21,OVD021,1,English Petrographic and Mineragraphic description. 15.docx (Innova Mineral); Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Samples_to_Japan.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
OVD22,OVD022,1,"22 р цооног зассан 14ш.docx (hole OVD22, 14 samples)"
OVD23,OVD023,1,"23 р цооног дууссан 9ш.docx (hole OVD23, 9 samples)"
OVD24,OVD024,1,"24 р цооног зассан 13ш.docx (hole OVD24, 13 samples)"
OVD25,OVD025,1,"25 цооног 10ш.docx (hole OVD25, 10 samples)"
OVD26,OVD026,1,"26 р цооног 16 ш зассан.docx (hole OVD26, 16 samples)"
OVD27,OVD027,1,"27 р цооног 12ш.docx (hole OVD27, 12 samples)"
OVD28,OVD028,1,"28 ба 29 р цооног 9ш.docx (holes OVD28 + OVD29, 9 samples)"
OVD29,OVD029,1,"28 ба 29 р цооног 9ш.docx (holes OVD28 + OVD29, 9 samples)"
SC01,SC01,0,Collar_all_combined; Survey_all_YMB
SC02,SC02,0,Collar_all_combined; Survey_all_YMB
SC03,SC03,0,Collar_all_combined; Survey_all_YMB
SC04,SC04,0,Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; English Petrographic and Mineragraphic description. 15.docx (Innova Mineral); Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
SC05,SC05,0,Collar_all_combined; Survey_all_YMB
SC06,SC06,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
SC07,SC07,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
SC08,SC08,0,Collar_all_combined; Survey_all_YMB
SC09,SC09,0,Collar_all_combined; Survey_all_YMB
SC10,SC10,0,Collar_all_combined; Survey_all_YMB
SC11,SC11,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
