hole_id,project,prospect,hole_type,east,north,rl,azimuth,dip,start_depth_m,total_depth_m,start_date,end_date,status,lease,company,supervisor,remarks,edited_date,crs,hole_id_raw
OVD013A,YMBT,OVAL,DD,722146.0,5144215.0,1851.0,240.0,-70.0,0.0,5.9,8/5/2024,7/16/2024,Not accepted,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD013A
OVD014,YMBT,OVAL,DD,722110.92,5144300.85,1841.21,240.0,-60.0,0.0,149.5,7/21/2024,7/24/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD014
OVD015,YMBT,OVAL,DD,722049.0,5144108.0,1843.01,63.0,-57.0,0.0,213.7,7/28/2024,8/4/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD015
OVD016,YMBT,North Oval,DD,721756.22,5144649.84,1827.75,64.0,-57.0,0.0,80.5,7/23/2024,7/24/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD016
OVD017,YMBT,North Oval,DD,721824.05,5144688.95,1822.68,244.0,-55.0,0.0,61.7,7/25/2024,7/27/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD017
OVD018,YMBT,North Oval,DD,721812.77,5144734.86,1809.33,235.0,-55.0,0.0,59.2,7/27/2024,7/28/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD018
OVD019,YMBT,North Oval,DD,721782.77,5144792.56,1810.58,225.0,-50.0,0.0,91.2,7/29/2024,7/31/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD019
OVD020,YMBT,OVAL,DD,722120.03,5144151.61,1846.34,260.0,-78.0,0.0,179.5,8/4/2024,8/10/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD020
OVD021,YMBT,OVAL,DD,722024.0,5144354.55,1835.8,150.0,-60.0,0.0,184.5,9/12/2024,9/16/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD021
OVD022,YMBT,OVAL,DD,722013.72,5144369.6,1834.448,146.94,-60.0,0.0,164.4,11/5/2024,11/7/2024,Completed,XV-20515,,Otgonjargal,,11/8/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD022
OVD023,YMBT,OVAL,DD,722034.0,5144337.2,1836.77,150.6,-60.0,0.0,149.9,11/8/2024,11/10/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD023
OVD024,YMBT,OVAL,DD,722016.8,5144260.0,1840.36,40.0,-65.0,0.0,170.4,11/11/2024,11/15/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD024
OVD025,YMBT,North Oval,DD,721825.2,5144751.0,1811.82,234.0,-55.0,0.0,65.9,11/17/2024,11/17/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD025
OVD026,YMBT,OVAL,DD,722058.0,5144351.0,1836.75,314.9,-50.0,0.0,125.0,11/18/2024,11/22/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD026
OVD027,YMBT,OVAL,DD,722024.0,5144354.55,1835.8,140.0,-65.0,0.0,147.9,11/23/2024,11/27/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD027
OVD028,YMBT,North Oval,DD,721790.4,5144754.0,1808.95,205.0,-63.0,0.0,53.9,11/28/2024,11/29/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD028
OVD029,YMBT,OVAL,DD,722135.08,5144173.45,1845.0,130.0,-70.0,0.0,175.5,11/30/2024,12/3/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD029
SC01,YMBT,DISCOVERY,DD,722320.0,5144039.0,1837.88,220.0,-60.0,0.0,61.8,8/1/2024,8/3/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),SC01
SC02,YMBT,SOUTH,DD,723380.0,5143063.0,1792.0,210.0,-60.0,0.0,22.5,8/15/2024,8/16/2024,Not accepted,XV-20515,,Batkhurel,Drilling was closed and did not accepted due to a ore core recovery,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),SC02
SC03,YMBT,DISCOVERY,DD,722394.14,5144052.36,1848.09,210.0,-60.0,0.0,116.5,8/19/2024,8/26/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),SC03
SC04,YMBT,OVAL,DD,722594.84,5143989.92,1823.13,210.0,-70.0,0.0,281.5,8/30/2024,9/11/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),SC04
OVD030,YMBT,OVAL,DD,722116.86,5144135.0,1848.82,350.0,-85.0,0.0,300.5,3/18/2025,3/24/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),OVD030
SC05,YMBT,Central,DD,723005.3,5143614.0,1843.05,33.0,-70.0,0.0,402.0,3/25/2025,4/1/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),SC05
OVD031,YMBT,OVAL,DD,722000.55,5144356.94,1834.92,60.0,-70.0,0.0,128.2,4/2/2025,4/5/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),OVD031
OVD032,YMBT,OVAL,DD,721901.96,5144109.38,1836.71,60.0,-55.0,0.0,401.0,4/5/2025,4/15/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD032
OVD035,YMBT,OVAL,DD,721919.78,5144628.07,1828.06,240.0,-75.0,0.0,108.7,4/16/2025,4/17/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),OVD035
OVD033,YMBT,OVAL,DD,722082.3,5144355.73,1838.48,205.0,-65.0,0.0,351.5,4/18/2025,4/26/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),OVD033
SC06,YMBT,MS2,DD,722452.0,5146266.0,1933.0,190.0,-70.0,0.0,61.9,4/27/2025,4/28/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),SC06
OVD034,YMBT,OVAL,DD,722017.51,5144416.49,1835.62,240.0,-78.0,0.0,97.7,4/29/2025,5/1/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD034
SC07,YMBT,MS1,DD,727640.0,5142100.0,1847.55,180.0,-70.0,0.0,254.2,5/1/2025,5/6/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),SC07
CRS02,YMBT,Copper Ridge,DD,725372.0,5150600.8,2007.14,180.0,-70.0,0.0,108.7,5/8/2025,5/10/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),CRS02
CRS03,YMBT,Copper Ridge,DD,724869.0,5150551.0,1976.0,180.0,-60.0,0.0,111.5,5/11/2025,5/13/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),CRS03
OVD036,YMBT,OVAL,DD,721908.0,5144592.54,1827.34,347.0,-60.0,0.0,141.5,5/16/2025,5/17/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD036
OVD037,YMBT,OVAL,DD,721917.41,5144527.41,1840.36,136.0,-57.0,0.0,62.0,5/19/2025,5/20/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD037
OVD038,YMBT,NORTH OVAL,DD,721908.04,5144592.08,1827.39,352.0,-85.0,0.0,150.5,5/21/2025,5/23/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),OVD038
OVD039,YMBT,NORTH OVAL,DD,721921.16,5144599.56,1827.33,210.0,-65.0,0.0,129.5,5/24/2025,5/26/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),OVD039
OVD040,YMBT,OVAL,DD,722059.4,5144304.44,1837.7,350.0,-75.0,0.0,129.5,5/26/2025,5/28/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),OVD040
OVD041,YMBT,NORTH OVAL,DD,721884.66,5144593.98,1827.49,61.0,-67.0,0.0,138.5,8/1/2025,8/3/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD041
OVD042,YMBT,OVAL,DD,721959.05,5144403.9,1833.01,60.0,-63.0,0.0,99.5,8/4/2025,8/5/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD042
OVD030A,YMBT,OVAL,DD,722116.86,5144135.0,1848.82,350.0,-85.0,300.5,459.5,8/6/2025,8/11/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD030A
OVD043,YMBT,OVAL,DD,721935.06,5144529.99,1838.17,5.0,-60.0,0.0,78.5,8/12/2025,8/12/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD043
OVD044,YMBT,NORTH OVAL,DD,721761.7,5144755.0,1809.46,70.0,-74.0,0.0,70.0,8/13/2025,8/13/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD044
OVD045,YMBT,NORTH OVAL,DD,721878.66,5144787.65,1815.31,235.0,-60.0,0.0,150.5,8/16/2025,8/18/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),OVD045
SC08,YMBT,NORTH OVAL,DD,721622.66,5144625.2,1817.43,60.0,-62.0,0.0,111.5,8/16/2025,8/16/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),SC08
OVD046,YMBT,OVAL,DD,722174.84,5144115.4,1850.96,240.0,-85.0,0.0,210.0,8/18/2025,8/21/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),OVD046
SC09,YMBT,OVAL,DD,723164.0,5143121.0,1835.0,80.0,-50.0,0.0,207.4,8/22/2025,8/25/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),SC09
OVD047,YMBT,OVAL,DD,722027.89,5144291.4,1837.0,60.0,-79.0,0.0,342.7,8/27/2025,9/2/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD047
OVD048,YMBT,NORTH OVAL,DD,721745.63,5144802.5,1808.28,210.0,-60.0,0.0,42.4,9/3/2025,9/4/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD048
OVD008A,YMBT,OVAL,DD,722102.84,5144249.78,1840.96,240.0,-70.0,110.5,162.5,9/4/2025,9/5/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD008a
SC10,YMBT,MS1,DD,727786.84,5142030.24,1849.06,180.0,-75.0,0.0,237.0,9/6/2025,9/9/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),SC10
SC11,YMBT,MS1,DD,727640.19,5142146.6,1850.65,180.0,-70.0,0.0,443.7,9/10/2025,9/19/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),SC11
OVD011E,YMBT,OVAL,DD,722147.92,5144268.65,1843.87,235.0,-65.0,235.6,315.5,9/21/2025,9/23/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),OVD011E
OVD013E,YMBT,OVAL,DD,722146.0,5144215.0,1851.0,240.0,-77.0,160.9,268.0,9/25/2025,9/28/2025,Completed,XV-20515,Ragnarok Investment LLC,Jargal,,,WGS84 / UTM zone 46N (EPSG:32646),OVD013E
MU2501,Maihan Ulaan,Maihan Ulaan,DD,714615.0,5147887.0,1704.95,190.0,-45.0,0.0,258.5,9/30/2025,10/9/2025,Completed,MV-019681,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),MU2501
MU2502,Maihan Ulaan,Maihan Ulaan,DD,714682.0,5147866.0,1707.0,190.0,-59.0,0.0,270.0,10/10/2025,10/14/225,Completed,MV-019681,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),MU2502
CRS04,YMBT,Copper Ridge,DD,725891.0,5150808.0,2056.1,40.0,-70.0,0.0,171.5,10/17/2025,10/20/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),CRS04
BS001,BS,Bayansair,DD,725900.0,5138590.0,1746.0,40.0,-77.0,0.0,525.7,10/23/2025,11/2/2025,Completed,XV-23028,Innova Mineral LLC,Jargal,,,WGS84 / UTM zone 46N (EPSG:32646),BS001
OVD049,YMBT,OVAL,DD,722128.17,5144058.73,1844.54,60.0,-70.0,0.0,216.2,11/5/2025,11/8/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),OVD049
OVD050,YMBT,OVAL,DD,722420.86,5144096.3,1851.84,210.0,-60.0,0.0,195.0,11/8/2025,11/11/2025,Ongoing,XV-20515,Ragnarok Investment LLC,Mendbileg,,,WGS84 / UTM zone 46N (EPSG:32646),OVD050
OVD051,YMBT,OVAL,DD,721906.0,5144595.0,1827.89,330.0,-61.0,0.0,134.8,11/13/2025,11/13/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,WGS84 / UTM zone 46N (EPSG:32646),OVD051
OVD052,YMBT,OVAL,DD,722165.61,5144109.4,1850.48,140.0,-63.0,0.0,193.7,11/17/2025,11/17/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,WGS84 / UTM zone 46N (EPSG:32646),OVD052
