Interval,Hole_ID,Rock Type,Au PPB,Pd PPB,Pt PPB,Ag PPM,Al %,Ba PPM,Be PPM,Ca %,Cr PPM,Cu PPM,Cu %,Fe %,K %,Li PPM,Mg %,Mn PPM,Na %,Ni PPM,P %,S %,Sc PPM,Sr PPM,Ti %,V PPM,Zn PPM,Co PPM,Ga PPM,Ge PPM,As PPM,Se PPM,Rb PPM,Y PPM,Zr PPM,Nb PPM,Mo PPM,Cd PPM,In PPM,Sn PPM,Sb PPM,Te PPM,Cs PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM,Hf PPM,Ta PPM,W PPM,Tl PPM,Pb PPM,Bi PPM,Th PPM,U PPM,Al2O3 %,As2O3 %,BaO %,CaO %,Cr2O3 %,CuO %,Fe2O3 %,K2O %,MgO %,Mn3O4 %,Na2O %,P2O5 %,PbO %,SiO2 %,SO3 %,TiO2 %,V2O5 %,ZnO %,Ag PPM,S %,Te PPM
60.3m,OVD-008,Gabbro,<1,<1,<10,,5.4,152,<5,4.27,874,44,0.0044,7.72,0.42,31,9.69,1299,,423,0.08,0.06,23,399,0.39,118,75,72.6,11,1,<5,,5.1,12.6,99.7,2,<2,<0.2,<0.2,<1,0.1,,0.8,9.5,24.6,3.02,14,3,0.96,3.36,0.43,2.84,0.56,1.47,0.2,1.4,0.23,2,<0.5,<1,<0.5,8,<0.1,1,0.42,9.93,<0.01,0.02,5.81,0.13,<0.01,11.8,0.33,17.37,0.19,1.13,0.19,<0.01,44.77,0.24,0.65,0.02,<0.01,0.41,0.06,0.22
88.9m,OVD-008,Gabbro,18,22,20,,6.18,167,<5,3.78,588,2593,0.2593,10.27,0.34,38,7.63,1066,,2542,0.11,2.57,17,497,0.55,123,83,175,13,2,<5,,6.1,20.8,43.8,3,<2,0.7,<0.2,2,0.1,,0.9,12.1,29.3,4.21,17.5,4.5,1.13,3.88,0.61,3.86,0.67,2.52,0.33,1.9,0.27,2,<0.5,<1,<0.5,27,0.4,1.3,0.57,10.32,<0.01,0.05,5.11,0.1,0.05,15.63,0.41,13.2,0.17,1.55,0.27,<0.01,43.22,4.17,0.82,<0.01,<0.01,1.33,2.57,0.33
55.9m,OVD-007,Gabbro,4,10,<10,,7.45,343,<5,4.03,476,716,0.0716,9.07,0.78,39,8.55,1601,,785,0.05,1.4,30,856,0.28,198,87,88.7,16,4,<5,,7.3,12.4,20.2,1,<2,<0.2,<0.2,<1,0.2,,0.5,6.1,15.5,2.1,10.1,2.4,0.92,2.7,0.41,2.54,0.46,1.18,0.2,1.3,0.19,1,<0.5,<1,<0.5,7,0.2,0.6,0.39,13.97,<0.01,0.05,5.52,0.06,0.04,12.34,0.44,13.8,0.23,1.73,0.14,<0.01,41.9,2.51,0.46,<0.01,<0.01,1.14,1.4,0.23
39.5m,OVD-008,Gabbro,<1,<1,<10,,7.01,228,<5,5.36,628,35,0.0035,6.99,0.68,25,6.95,1248,,237,0.09,0.12,27,638,0.5,145,66,57.8,14,2,<5,,8.3,17.5,105,3,<2,<0.2,<0.2,<1,0.2,,0.5,12.2,30.4,3.76,17.1,3.9,1.26,4.05,0.59,3.38,0.68,2.07,0.29,1.7,0.27,2,<0.5,6,<0.5,6,<0.1,1.3,0.48,12.69,<0.01,0.03,7.01,0.09,<0.01,10.45,0.61,12.21,0.17,2.28,0.21,<0.01,46.44,0.17,0.77,<0.01,<0.01,0.06,0.12,0.52
149.8m,OVD-009,Gabbro,13,17,10,,6.56,162,<5,3.63,601,1419,0.1419,8.22,0.32,27,7.03,1117,,1432,0.08,1.32,18,375,0.43,129,78,116,14,1,8,,9,16.1,81.3,3,<2,0.6,<0.2,1,<0.1,,0.5,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28,2,<0.5,<1,<0.5,12,0.2,0.8,0.44,13.44,<0.01,0.03,5.56,0.1,0.2,12.25,0.63,12.78,0.18,2.54,0.19,<0.01,43.98,2.81,0.75,0.02,<0.01,0.77,1.32,0.3
190.8m,OVD-009,Gabbro,146,133,110,,4.14,99,<5,2.64,961,9775,0.9775,14.72,0.15,19,12.75,1301,,5333,0.07,4.06,12,319,0.33,81,114,254,9,1,15,,6.3,10,58.9,3,<2,3,<0.2,3,<0.1,,0.8,7.2,16.5,2.13,9.5,2.2,0.7,2.23,0.32,1.97,0.4,1.19,0.17,1,0.18,2,<0.5,<1,<0.5,64,3.2,0.5,0.26,7.09,<0.01,0.08,3.61,0.13,0.5,19.79,0.33,20.06,0.17,0.7,0.15,<0.01,37,5.41,0.49,0.01,<0.01,7.45,4.06,2.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149.5m,OVD-009,Gabbro,13,17,10,,6.56,162,<5,3.63,601,1419,0.1419,8.22,0.32,27,7.03,1117,,1432,0.08,1.32,18,375,0.43,129,78,116,14,1,8,,9,16.1,81.3,3,<2,0.6,<0.2,1,<0.1,,0.5,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28,2,<0.5,<1,<0.5,12,0.2,0.8,0.44,13.44,<0.01,0.03,5.56,0.1,0.2,12.25,0.63,12.78,0.18,2.54,0.19,<0.01,43.98,2.81,0.75,0.02,<0.01,0.77,1.32,0.3
149.8m,OVD-009,Gabbro,13,17,10,,6.56,162,<5,3.63,601,1419,0.1419,8.22,0.32,27,7.03,1117,,1432,0.08,1.32,18,375,0.43,129,78,116,14,1,8,,9,16.1,81.3,3,<2,0.6,<0.2,1,<0.1,,0.5,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28,2,<0.5,<1,<0.5,12,0.2,0.8,0.44,13.44,<0.01,0.03,5.56,0.1,0.2,12.25,0.63,12.78,0.18,2.54,0.19,<0.01,43.98,2.81,0.75,0.02,<0.01,0.77,1.32,0.3
151.6m,OVD-009,Gabbro,23,33,30,,6.76,148,<5,4.14,468,2675,0.2675,8.45,0.33,22,5.21,1072,,2254,0.08,2.31,18,399,0.4,112,71,157,16,1,<5,,11.1,16.9,87.7,3,<2,0.8,<0.2,1,<0.1,,0.3,13.3,30.3,3.96,17,3.7,1.19,3.74,0.53,3.43,0.68,1.51,0.27,1.9,0.24,3,<0.5,<1,<0.5,11,0.7,1,0.5,13.7,<0.01,0.05,6.32,0.06,0.3,12.53,0.67,9.7,0.16,2.66,0.19,<0.01,45.14,4.17,0.67,0.01,<0.01,1.54,2.31,0.66
161m,OVD-009,Gabbro,44,53,40,,4.43,57,<5,2.04,1090,4165,0.4165,12.85,<0.1,28,13.2,1327,,3870,0.08,3.06,15,156,0.42,96,102,220,10,1,<5,,4,12.5,68.7,3,<2,1.2,<0.2,1,<0.1,,1.1,7.7,18.4,2.42,10.4,2.6,0.81,2.65,0.41,2.64,0.51,1.33,0.17,1.4,0.18,2,<0.5,<1,<0.5,13,1.1,0.5,0.28,8.02,<0.01,0.06,2.86,0.15,0.41,17.36,0.24,21.39,0.18,0.12,0.15,<0.01,40.02,4.95,0.63,0.01,<0.01,2.51,3.06,0.98
195.2m,OVD-009,Gabbro,30,30,20,,4.38,69,<5,3.73,950,1509,0.1509,10.14,<0.1,41,12.53,1506,,1857,0.08,1.56,14,328,0.39,93,95,136,10,2,13,,8.4,13.5,67.7,3,<2,0.5,<0.2,<1,<0.1,,1.7,8.9,20.7,2.7,12.3,2.6,0.89,2.95,0.4,2.8,0.56,1.27,0.24,1.4,0.21,2,<0.5,<1,<0.5,6,0.3,0.6,0.37,7.65,<0.01,0.02,5.3,0.15,0.17,13.74,0.35,20.36,0.21,0.44,0.2,<0.01,40.31,3.65,0.67,0.02,<0.01,0.8,1.56,0.31
