#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,Au ppm,Pt ppm,Pd ppm,Ag ppm,Al %,As ppm,Ba ppm,Be ppm,Bi ppm,Ca %,Cd ppm,Co ppm,Cr ppm,Cu ppm,Cu %,Fe %,Ga ppm,K %,La ppm,Li ppm,Mg %,MgO %,Mn ppm,Mo ppm,Na %,Ni ppm,Ni % ppm,P %,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Zr ppm,Se PPM,Rb PPM,Y PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Ce PPM,Tb PPM,Yb PPM,Lu PPM,Hf PPM,Ta PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Ge PPM,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,PbO %,CuO %,TiO2 %,V2O5 %,ZnO %
12,OVD002,722011.84,5144334.01,75.5,75.5m,40911,MIRES,,2023,x,,,,,,,gabbro,Diabase,,0.5638297872340425,16.36015325670498,0.003,0.01,0.004,0.22,7.83,6,224,1,0.07,0.92,0.09,28.3,106,98.6,0.009859999999999999,7.3,21.5,1.57,8,76,2.44,4.04552,1040,0.7,2.19,68.3,0.00683,0.0591,7.6,0.99,0.27,27.4,427,1.2,0.39,0.14,0.96,188,0.3,108,86.1,2,26.1,15.8,2.6,0.09,0.9,,1,18.7,0.52,2,0.3,2.86,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,OVD002,722011.84,5144334.01,87.4,87.4m,40902,MIRES,,2023,x,,,,,,,oxidazed gabbro,Gabbro,,0.12834224598930483,25.77777777777778,0.002,0.01,0.002,0.17,8.31,5,85,0.6,0.05,5.59,0.07,17.9,24,66,0.0066,6.86,17.4,0.63,8.8,81,1.95,3.2331,2596,0.46,2.72,13.1,0.00131,0.0817,5.7,0.29,0.13,25.3,348,1,0.64,0.06,0.65,187,0.4,102,98,2,13.5,28.7,2,0.08,0.9,,1,21.1,0.83,2.9,0.42,3.11,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,OVD002,722011.84,5144334.01,126.4,126.4m,40906,MIRES,,2023,x,,,,,,,spotted,schist,,0.9433962264150944,21.209302325581394,0.002,0.01,0.003,0.13,9,5,231,0.8,0.06,3.55,0.09,26.7,150,90.4,0.009040000000000001,6.88,20.1,1.14,10,86,2.68,4.44344,1107,0.42,2.5,65.5,0.00655,0.0558,8.2,0.71,0.21,30.7,456,1.7,0.49,0.11,0.98,159,0.4,89,91.6,2,21.5,22.4,3.1,0.06,0.8,,1,23.3,0.66,2.3,0.33,2.89,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,OVD002,722011.84,5144334.01,137.6,137.6m,40912,MIRES,,2023,x,,,,,,,spotted,schist,,0.4939759036144578,44.8,0.001,0.01,0.003,0.15,8.86,4,164,0.6,0.04,2.53,0.09,21.7,82,66.2,0.00662,6.89,19.3,0.84,3.9,89,2,3.316,1112,0.31,4.14,37.4,0.00374,0.0375,4.6,0.71,0.22,24.3,336,0.7,0.55,0.08,0.36,166,0.3,96,66.7,2,7.5,16.1,2.2,0.06,0.9,,1,9.99,0.51,1.9,0.25,2.35,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,OVD003,722024.96,5144147.09,155.3,155.3m,41012,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,4.45578231292517,117.94871794871796,0.012,0.01,0.013,0.53,6.84,5,157,5,0.3,4.31,0.5,104,655,1098,0.1098,9.04,14,0.2,14.4,23,8.97,14.87226,1283,2,,1257,0.1257,0.11,9,0.89,0.2,23,460,1.4,0.63,0.5,0.49,147,1,97,90.6,,3.9,22,5,0.2,1,0.26,0.3,30.6,0.66,2,0.31,3,0.5,4.03,18,4.5,1.4,4.82,3.9,0.84,2.18,0.34,2,12.2,0.05,5.87,0.09,11.59,0.33,14.15,0.18,2.05,0.25,1.73,45.04,,1.02,,0.01,0.07,1.02,0.01,0.01
17,OVD003,722024.96,5144147.09,157.5,157.5m,40530,MIRES,,2023,x,,,,,eds,,schist,Gabbro,,4.731884057971015,100,0.037,0.04,0.048,2.48,6.49,5,154,5,1,3.83,1,152,653,3680,0.368,11.34,14,0.17,11.9,25,8.81,14.60698,1264,2,,2793,0.2793,0.1,14,2.87,0.1,22,390,1.1,0.58,0.5,0.46,138,1,100,90.3,,3.9,19.9,5,0.2,2,0.83,0.4,28.3,0.6,1.9,0.3,3,0.5,3.73,16.5,4.2,1.23,4.32,3.34,0.78,2.21,0.3,2,11.38,0.12,5.13,0.09,14.31,0.32,13.59,0.17,1.62,0.25,4.16,41.86,,0.92,,0.01,0.15,0.92,0.01,0.01
18,OVD004,721954.61,5144510.72,28,28m,40574,MIRES,,2023,x,,,,,eds,,spotted???,Gabbro,,3.911290322580645,216.31578947368422,0.048,0.03,0.041,1.19,6.65,5,132,5,0.5,4.04,1.1,107,485,1704,0.1704,10.69,12,0.3,9.2,25,6.1,10.1138,935,2,,1607,0.1607,0.08,14,1.23,0.2,22,411,0.9,0.5,0.5,0.46,124,1,77,91.3,,1.9,15.7,4,0.2,1,0.9,0.9,21.7,0.51,1.6,0.22,2,0.5,2.8,12.9,3.2,1.06,3.42,3.1,0.61,1.59,0.24,2,10.62,0.04,5.54,0.07,14.27,0.21,8.71,0.13,1.74,0.21,2.52,47.86,,0.86,,0.01,0.17,0.86,0.03,0.01
19,OVD004,721954.61,5144510.72,36,36m,40579,MIRES,,2023,x,,,,,,,gabbro,Gabbro,,0.7225130890052356,21.971830985915492,0.002,0.01,0.004,0.22,12.53,13,289,1,0.09,0.61,0.34,40.2,138,224,0.0224,8.27,22.2,1.78,5.3,94,2.66,4.41028,888,3.36,1.49,567,0.0567,0.077,8.2,0.49,0.39,30.2,468,1.1,0.5,0.21,1.63,191,0.6,107,73.2,4,21.3,13.3,3.2,0.09,1,0.09,2,13.4,0.46,1.8,0.26,2.26,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,OVD004,721954.61,5144510.72,91,91m,40605,MIRES,,2023,x,,,,,,,oxidazed gabbro,Gabbro,,0.3657142857142857,93.12977099236642,0.01,0.01,0.001,0.43,8.85,1,572,1.4,0.04,4.67,0.09,22.7,64,25.4,0.0025399999999999997,6.05,20.1,1.19,45.1,26,2.45,4.0621,986,0.54,3.13,40.7,0.004070000000000001,0.2711,7.8,0.26,0.08,16.4,1220,5.1,0.84,0.06,1.4,175,0.3,95,166,2,13.1,25.5,8.5,0.06,1.2,0.05,1,103,0.97,2.1,0.32,5.39,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,OVD005,722019.75,5144331.43,13.4,13.4m,41027,Altantsetseg,,2023,x,,,,,,,Gabbro,Peridodtite,,11.938271604938272,64.8936170212766,0.008,0.01,0.005,0.26,3.96,5,165,5,0.1,7.19,0.2,88.5,967,506,0.0506,7.27,8,0.94,5.7,30,11.06,18.33748,1154,2,,809,0.0809,0.05,7,0.01,0.1,14,305,0.7,0.3,0.5,0.73,81,1,77,37.3,,4.7,8.9,2,0.2,1,0.07,1.5,18.8,0.39,1.2,0.16,1,0.5,2.57,11.2,2.5,0.79,2.53,2.06,0.48,1.32,0.17,1,6.72,0.04,8.97,0.14,10.88,0.23,18.19,0.17,0.71,0.13,0.04,37.27,,0.51,,0.01,0.04,0.51,0.01,0.01
22,OVD005,722019.75,5144331.43,40.5,40.5m,40628,MIRES,,2023,x,,,,,,,gabbro,Gabbro,,17.367088607594937,45,0.024,0.02,0.029,1.98,3.56,5,172,5,0.8,2.42,0.7,195,1372,2952,0.2952,12.34,8,0.84,4.1,15,14.98,24.83684,1378,2,,3195,0.3195,0.06,22,2.55,0.1,13,234,0.5,0.32,0.5,0.12,79,1,103,38,,5.2,7.8,2,0.2,1,0.51,1.1,15.2,0.33,1,0.15,1,0.5,2.06,9.4,2.1,0.71,2.05,1.97,0.4,1.2,0.14,1,5.94,0.07,3.03,0.17,16.41,0.32,24.62,0.19,0.59,0.18,4.33,38.32,,0.46,,0.01,0.09,0.46,0.01,0.01
23,OVD005,722019.75,5144331.43,53,53m,40635,MIRES,,2023,x,,,,,,,spotted,Gabbro,,14.784615384615385,51.132075471698116,0.028,0.02,0.027,1.96,3.69,5,115,5,0.8,2.74,0.5,173,961,2682,0.2682,10.83,8,0.78,4.6,24,13.82,22.91356,1259,2,,2468,0.2468,0.05,234,2.55,0.2,13,271,0.7,0.3,0.5,0.2,65,1,97,51.1,,5.3,9.2,2,0.2,1,0.57,1.1,16.1,0.35,1.1,0.18,1,0.5,2.15,9.9,2.1,0.69,2.65,2.06,0.41,1.17,0.14,1,6.73,0.14,3.63,0.15,16.32,0.36,23.59,0.2,0.72,0.11,4.23,39.35,,0.53,,0.01,0.16,0.53,0.01,0.01
24,OVD005,722019.75,5144331.43,71,71m,40645,MIRES,,2023,x,,,,,eds,,gabbro,Gabbro,,9.520408163265307,46.463414634146346,0.009,0.01,0.016,0.55,5.25,9,139,5,0.3,3.97,0.2,118,933,2302,0.2302,9.8,11,0.49,5.7,43,12,19.896,1352,17,,1330,0.133,0.07,25,0.9,1.1,16,381,0.7,0.45,0.5,0.24,98,1,201,79,,8.2,12.4,3,0.2,1,0.18,2,19.5,0.47,1.5,0.22,2,0.5,2.7,12.1,3,0.92,3.41,2.91,0.62,1.58,0.22,1,9,0.06,4.96,0.13,12.66,0.49,19.19,0.19,0.88,0.2,1.8,42.36,,0.73,,0.01,0.05,0.73,0.01,0.01
25,OVD007,722016.71,5144416.86,50,50m,41011,Altantsetseg,,2023,x,,,,,,,Gabbro,Peridodtite,,14.584269662921349,38.91891891891892,0.021,0.02,0.021,1.35,3.74,5,112,5,0.5,2.76,0.5,157,1298,1739,0.1739,11.83,10,0.9,6.4,18,14.95,24.7871,1383,2,,2108,0.2108,0.05,13,1.52,0.3,11,288,0.5,0.31,0.5,0.42,89,1,109,39.6,,7.4,10.6,2,0.2,1,0.32,1,15.5,0.33,1,0.16,1,0.5,2.12,8.8,2,0.61,2.15,1.97,0.36,1,0.13,3,5.83,0.01,3.65,0.17,15.27,0.39,22.76,0.22,0.49,0.13,2.98,39.95,,0.5,,0.01,0.06,0.5,0.01,0.01
26,OVD007,722016.71,5144416.86,55.9,55.9m,41031,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,2.404040404040404,117.26027397260275,0.004,0.01,0.01,1.14,7.45,5,343,5,0.2,4.03,0.2,88.7,476,716,0.0716,9.07,16,0.78,6.1,39,8.55,14.1759,1601,2,,785,0.0785,0.05,7,1.4,0.2,30,856,0.6,0.28,0.5,0.39,198,1,87,20.2,,7.3,12.4,1,0.2,1,0.23,0.5,15.5,0.41,1.3,0.19,1,0.5,2.1,10.1,2.4,0.92,2.7,2.54,0.46,1.18,0.2,4,13.97,0.05,5.52,0.06,12.34,0.44,13.8,0.23,1.73,0.14,2.51,41.9,,0.46,,0.01,0.04,0.46,0.01,0.01
27,OVD007,722016.71,5144416.86,58.2,58.2m,41025,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,10.087719298245615,33.40425531914894,0.007,0.01,0.012,1.18,5.2,5,109,5,0.1,3.25,0.2,109,1150,381,0.0381,8.98,14,0.76,8.7,33,12.46,20.65868,1292,2,,953,0.0953,0.08,42,0.83,0.3,16,314,0.7,0.45,0.5,0.4,114,1,94,75.2,,9.4,14.5,3,0.2,1,0.15,2.4,21.4,0.52,1.5,0.21,2,0.5,2.94,12.2,2.9,0.94,3.19,2.9,0.57,1.5,0.22,3,8.8,0.06,5.28,0.11,11.81,0.33,18.15,0.2,1.2,0.15,1.57,44.24,,0.54,,0.01,0.09,0.54,0.02,0.01
28,OVD007,722016.71,5144416.86,87.8,87.8m,41026,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,2.0902777777777777,33.31325301204819,0.013,0.01,0.01,0.33,9,9,222,5,0.1,3.15,0.3,57.2,301,597,0.0597,7.6,17,0.66,12.9,44,4.33,7.179139999999999,1186,2,,620,0.062,0.13,16,0.73,0.2,22,553,1.7,0.66,0.5,0.88,144,1,95,136,,16.6,30.1,4,0.2,1,0.16,1,34.7,1.01,2.8,0.43,3,0.5,4.97,22,5.4,1.58,5.53,5.64,1.46,3.35,0.51,2,16.8,0.06,4.5,0.04,10.22,1.12,7.06,0.16,2.32,0.3,1.43,50.09,,1,,0.01,0.05,1,0.02,0.01
29,OVD007,722016.71,5144416.86,98.2,98.2,40715,MIRES,,2023,x,,,,,,,gabbro,schist,,0.2552083333333333,44.88372093023256,0.002,0.01,0.001,0.02,8.25,6,85,0.7,0.04,5.78,0.07,21.2,49,79.6,0.00796,6.48,17.7,0.48,9.6,80,2.37,3.92946,2335,0.62,3,37.1,0.00371,0.0984,4.3,0.32,0.14,22.3,386,1,0.64,0.05,0.7,192,0.4,95,91.3,2,8.6,28.5,2.3,0.07,0.9,0.05,1,23.7,0.8,2.9,0.44,3.04,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,OVD008,722102.84,5144249.78,27.3,27.3m,41028,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,3.744360902255639,56.3963963963964,0.001,0.01,0.01,0.12,7.61,5,261,5,0.1,4.82,0.2,46.7,498,31,0.0031,6.57,16,0.77,16.4,17,5.65,9.3677,1149,2,,204,0.0204,0.1,7,0.01,0.2,24,626,1.7,0.46,0.5,0.31,133,1,66,93.1,,11.1,20.6,4,0.2,1,0.22,0.4,39.8,0.71,2.3,0.32,3,0.5,4.89,21.3,4.7,1.43,4.76,4.1,0.82,2.33,0.33,2,13.55,0.04,6.21,0.06,9.36,0.71,9.83,0.16,2.97,0.24,0.01,47.96,,0.69,,0.01,0.01,0.69,0.01,0.01
31,OVD008,722102.84,5144249.78,39.5,39.5m,41032,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbro,,4.3310344827586205,76.86746987951807,0.001,0.01,0.01,0.06,7.01,5,228,5,0.1,5.36,0.2,57.8,628,35,0.0035,6.99,14,0.68,12.2,25,6.95,11.5231,1248,2,,237,0.0237,0.09,6,0.12,0.2,27,638,1.3,0.5,0.5,0.48,145,6,66,105,,8.3,17.5,3,0.2,1,0.52,0.5,30.4,0.59,1.7,0.27,2,0.5,3.76,17.1,3.9,1.26,4.05,3.38,0.68,2.07,0.29,2,12.69,0.03,7.01,0.09,10.45,0.61,12.21,0.17,2.28,0.21,0.17,46.44,,0.77,,0.01,0.01,0.77,0.01,0.01
32,OVD008,722102.84,5144249.78,40.1,40.1m,41013,Altantsetseg,,2023,x,,,,,,,Gabbro,Gabbrodiorite,,4.944444444444445,73.48837209302326,0.001,0.01,0.01,0.02,7.21,5,229,5,0.1,5.66,0.2,62.7,712,34,0.0034,7.49,15,0.66,11.9,22,7.64,12.667119999999999,1321,2,,278,0.0278,0.09,9,0.1,0.1,27,632,1.2,0.5,0.5,0.36,144,1,68,84,,8.6,16.9,3,0.2,1,0.2,0.5,29.7,0.57,1.8,0.26,2,0.5,3.76,16.8,3.7,1.23,4.11,3.41,0.67,1.92,0.25,2,12.67,0.03,7.23,0.09,10.47,0.63,12.53,0.17,1.94,0.2,0.14,46.93,,0.76,,0.01,0.01,0.76,0.01,0.01
