PROJECT,PROSPECT,HOLE_ID,Hole_TYPE,ORIG_EAST,ORIG_NORTH,ORIG_RL,Azimuth,Dip,Starting depth,Drilled depth,Total drilled depth,Start date,End date,DH statuus,LEASE,COMPANY,SUPERVISOR,DH closed and sealed,REMARKS,Edited date
YMBT,MS2,SC06,DD,722452,5146266,1933,190,-70,0,61.9,61.9,4/27/2025,4/28/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD034,DD,722017.51,5144416.49,1835.62,240,-78,0,97.7,97.7,4/29/2025,5/1/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,MS1,SC07,DD,727640,5142100,1847.55,180,-70,0,254.2,254.2,5/1/2025,5/6/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,Copper Ridge,CRS02,DD,725372,5150600.8,2007.14,180,-70,0,108.7,108.7,5/8/2025,5/10/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,Copper Ridge,CRS03,DD,724869,5150551,1976,180,-60,0,111.5,111.5,5/11/2025,5/13/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD036,DD,721908,5144592.54,1827.34,347,-60,0,141.5,141.5,5/16/2025,5/17/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD037,DD,721917.41,5144527.41,1840.36,136,-57,0,62,62,5/19/2025,5/20/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,NORTH OVAL,OVD038,DD,721908.04,5144592.08,1827.39,352,-85,0,150.5,150.5,5/21/2025,5/23/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,NORTH OVAL,OVD039,DD,721921.16,5144599.56,1827.33,210,-65,0,129.5,129.5,5/24/2025,5/26/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,OVAL,OVD040,DD,722059.4,5144304.44,1837.7,350,-75,0,129.5,129.5,5/26/2025,5/28/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,NORTH OVAL,OVD041,DD,721884.66,5144593.98,1827.49,61,-67,0,138.5,138.5,8/1/2025,8/3/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD042,DD,721959.05,5144403.9,1833.01,60,-63,0,99.5,99.5,8/4/2025,8/5/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD030A,DD,722116.86,5144135,1848.82,350,-85,300.5,159,459.5,8/6/2025,8/11/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD043,DD,721935.06,5144529.99,1838.17,5,-60,0,78.5,78.5,8/12/2025,8/12/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,NORTH OVAL,OVD044,DD,721761.7,5144755,1809.46,70,-74,0,70,70,8/13/2025,8/13/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,NORTH OVAL,OVD045,DD,721878.66,5144787.65,1815.31,235,-60,0,150.5,150.5,8/16/2025,8/18/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,NORTH OVAL,SC08,DD,721622.66,5144625.2,1817.43,60,-62,0,111.5,111.5,8/16/2025,8/16/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,OVAL,OVD046,DD,722174.84,5144115.4,1850.96,240,-85,0,210,210,8/18/2025,8/21/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,OVAL,SC09,DD,723164,5143121,1835,80,-50,0,207.4,207.4,8/22/2025,8/25/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,OVAL,OVD047,DD,722027.89,5144291.4,1837,60,-79,0,342.7,342.7,8/27/2025,9/2/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,NORTH OVAL,OVD048,DD,721745.63,5144802.5,1808.28,210,-60,0,42.4,42.4,9/3/2025,9/4/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD008a,DD,722102.84,5144249.78,1840.96,240,-70,110.5,52,162.5,9/4/2025,9/5/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,MS1,SC10,DD,727786.84,5142030.24,1849.06,180,-75,0,237,237,9/6/2025,9/9/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,MS1,SC11,DD,727640.19,5142146.6,1850.65,180,-70,0,443.7,443.7,9/10/2025,9/19/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,OVAL,OVD011E,DD,722147.92,5144268.65,1843.87,235,-65,235.6,79.9,315.5,9/21/2025,9/23/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,OVAL,OVD013E,DD,722146,5144215,1851,240,-77,160.9,107.1,268,9/25/2025,9/28/2025,Completed,XV-20515,Ragnarok Investment LLC,Jargal,,,
Maihan Ulaan,Maihan Ulaan,MU2501,DD,714615,5147887,1704.95,190,-45,0,258.5,258.5,9/30/2025,10/9/2025,Completed,MV-019681,Ragnarok Investment LLC,Mendbileg,,,
Maihan Ulaan,Maihan Ulaan,MU2502,DD,714682,5147866,1707,190,-59,0,270,270,10/10/2025,10/14/225,Completed,MV-019681,Ragnarok Investment LLC,Batkhurel,,,
YMBT,Copper Ridge,CRS04,DD,725891,5150808,2056.1,40,-70,0,171.5,171.5,10/17/2025,10/20/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
BS,Bayansair,BS001,DD,725900,5138590,1746,40,-77,0,525.7,525.7,10/23/2025,11/2/2025,Completed,XV-23028,Innova Mineral LLC,Jargal,,,
YMBT,OVAL,OVD049,DD,722128.17,5144058.73,1844.54,60,-70,0,216.2,216.2,11/5/2025,11/8/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,OVAL,OVD050,DD,722420.86,5144096.3,1851.84,210,-60,0,195,195,11/8/2025,11/11/2025,Ongoing,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,OVAL,OVD051,DD,721906,5144595,1827.89,330,-61,0,134.8,134.8,11/13/2025,11/13/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD052,DD,722165.61,5144109.4,1850.48,140,-63,0,193.7,193.7,11/17/2025,11/17/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
