#,Sample Number ,ioGAS number,Arrived chips,Drillhole,From,To,Sample interval,Field Lithology description,Petrographer,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,,,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Total %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
#,Sample Number ,ioGAS number,Arrived chips,Drillhole,From,To,Sample interval,Field Lithology description,Petrographer,Polished thin section,ASD,Fluid inclusion,Sulphur analysis,EDS,EPMA,Micro - description,Texture,Rock forming minerals,Alteration,Ore minerals and paragenesis,Brief petrographic description,,,Microscope - Rock name,Sc vs Al plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,40901,9,,OVD-002,20.4m,,,gabbro,Oyunjargal,x,,,,,,Oxidized Amphibole gabbro,Hollocrystalline,"Pl, Amph","Ser,Chl,Epi,Calc",,,,,Amph Gabbro,Ultramafic (Harzburgite/Dunite),7.43,,3.6,0.18,18.38,0.14,16.41,0.15,0.51,0.15,0.23,39.77,,0.69,,1.03,0.01,0.02,89.36999999999999,3378,5019,0.038,0.03,0.041,2.86,4.27,,64,,1.3,2.37,0.8,178,1076,12.52,9,0.24,25,10.23,991,,,0.04,28,0.1,0.2,258,0.8,0.39,,1.7,97,,106,64,,1.8,3,,2,0.9,0.8,2,1,,12.6,15,8.1,19,2.67,11.9,2.7,0.88,2.71,0.46,2.58,0.52,1.41,0.21,1.2,0.19
12,40902,14,,OVD-002,87.4m,,,oxidazed gabbro,Mireslab,x,,,,,,Pelitic rock ,massive,,,,,,,Phyllite,,,,,,,,,,,,,,,,,,,,,13.1,66,0.002,0.01,0.002,0.17,8.31,5,85,0.6,0.05,5.59,0.07,17.9,24,6.86,17.4,0.63,81,1.95,2596,0.46,2.72,0.0817,5.7,0.29,0.13,348,1,0.64,0.06,0.65,187,0.4,102,98,,13.5,2,0.08,0.9,,,3.11,,0.14,28.7,25.3,8.8,21.1,,,,,,0.83,,,,,2.9,0.42
13,40903,1,,OVD-001,7.15m,,,schist,Mireslab,x,,,,,,Gossan (Iron oxide-calcite-quartz. The original lithofacies are not identification.),,,,,,,,Gossan,,,,,,,,,,,,,,,,,,,,,316,5986,0.131,0.12,0.11,8.34,0.24,,11,,0.3,3.81,0.8,43.6,80,10,,,0,0.09,124,3,,,,0.21,,129,,,,4.36,7,1,,5.1,,,,,,2.78,,,,,1.1,,,,,0.6,,,0.17,,0.13,,0.09,,0.1,
14,40904,11,,OVD-002,44.2m,,,gossan,Mireslab,x,,,,eds,,,"Hollocrystalline, Ophitic","Pl, Amph","Ser,Chl","Py,Cpy",,,,,Mafic (Pyroxenite),13.75,,4.7,0.06,13.98,0.52,10.18,0.17,2.35,0.26,4.17,44,,1.09,,0.33,0.03,0.02,96.68,2455,2769,0.026,0.03,0.03,1.81,7.4,24,182,,0.6,3.1,0.9,149,392,9.61,17,0.27,24,6.11,1253,,,0.09,17,2.46,0.3,400,1.6,0.61,,0.69,149,,113,118,,6.1,5,,2,0.37,0.4,3,2,,21,23,13.8,31,4.24,18.5,4,1.3,4.75,0.65,4.08,0.81,2.17,0.32,2.2,0.31
15,40905,5,,OVD-001,35.8m,,,gabbro,Mireslab,x,,,,,,Strong altered diabase,,,Strong sericite,,,,,Spotted,Gabbroic Rocks,18.11,0.05,1.83,0.02,10.93,1.33,4.39,0.17,2.5,0.17,0.1,51.59,,1.1,,0.05,0.04,,93.48,355,662,0.005,0.01,0.004,0.68,9.96,6,218,,,1.35,0.3,40,137,7.43,21,0.94,68,2.74,1322,,,0.07,9,0.02,0.4,338,1.5,0.67,,1.02,222,,111,94.1,,21.5,5,,2,0.09,0.9,3,2,,26.2,33,10.8,23.1,3.24,15.6,3.8,1.31,4.67,0.74,4.81,0.96,2.85,0.39,2.7,0.47
16,40906,15,,OVD-002,126.4m,,,spotted,Mireslab,x,,,,,,Black schist,Schistous,,"chl,illite,smec",,,,,Schist,,,,,,,,,,,,,,,,,,,,,65.5,90.4,0.002,0.01,0.003,0.13,9,5,231,0.8,0.06,3.55,0.09,26.7,150,6.88,20.1,1.14,86,2.68,1107,0.42,2.5,0.0558,8.2,0.71,0.21,456,1.7,0.49,0.11,0.98,159,0.4,89,91.6,,21.5,3.1,0.06,0.8,,,2.89,,0.21,22.4,30.7,10,23.3,,,,,,0.66,,,,,2.3,0.33
17,40907,7,,OVD-001,62.4m,,,schist,Mireslab,x,,,,,,Strong altered diabase,,"Pl, Mafic minerals",Strong sericite-calcite,,,,,Diabase,Mafic (Pyroxenite),11.23,0.05,8.48,0.1,11.18,0.53,13.86,0.19,1.66,0.24,2.64,41.17,,0.92,,0.08,0.03,,93.28000000000002,881,919,0.021,0.02,0.017,0.76,5.99,,224,,0.2,6.08,0.3,87.4,623,7.31,12,,41,8.53,1362,,,0.09,12,1.41,0.1,444,0.9,0.53,,0.73,135,,79,23.5,,4.1,4,,,0.22,0.8,3,2,,18.6,21,12.3,27.9,3.66,16.2,3.5,1.13,3.93,0.58,3.55,0.69,1.85,0.25,1.9,0.26
18,40908,2,,OVD-001,8.6m,,,schist,Mireslab,x,,,,,,Gossan (Copper-iron-oxide. The original lithofacies is not identified.),,,,,,,,Gossan,,,,,,,,,,,,,,,,,,,,,2060,243400,0.114,0.16,0.17,23.2,1,,26,,2.4,4.27,2.1,234,202,22.4,,,0,0.14,270,5,,,52,2.97,,217,,0.03,,3.87,27,1,36,1.4,,,,0.3,4,2.15,,,1,,2.1,,1.1,3.9,0.41,1.7,0.4,0.15,0.55,0.08,0.47,0.11,0.23,,0.2,
19,40909,12,,OVD-002,51.6m,,,,Mireslab,x,,,,,,Amphibole micro-gabbro,equigranular crystalline,"Pl, Amph",Chl,,,,,Amph Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,102,91.79999999999998,0.001,0.01,0.005,,7.99,7,158,0.9,,0.39,0.04,30.4,171,8.25,22.8,1.36,71,3.15,1020,0.27,1.58,0.0322,3.4,0.28,0.11,146,0.5,0.23,0.1,0.6,172,0.3,69,22.9,,11.5,1.6,0.04,0.3,,,1.07,,0.11,6.3,28.8,2.5,6.65,,,,,,0.26,,,,,1.1,0.17
20,40910,10,,OVD-002,37m,,,schist?,Mireslab,x,,,,,,Amphibole gabbro,"Hollocrystalline, Ophitic","Pl, Amph",,,,,,Amph Gabbro,Mafic (Pyroxenite),10.6,,4.28,0.1,15.52,0.37,15.09,0.17,1.3,0.26,4.51,42.08,,0.89,,0.49,0.02,0.02,96.57,3441,4213,0.052,0.06,0.063,3.11,5.74,,147,,1.4,2.83,1.5,175,658,10.97,13,0.17,22,9.46,1208,,,0.09,17,2.75,0.2,290,1.7,0.51,,0.49,126,,97,95.3,,4,3,,2,1.02,0.2,2,2,,17.4,18,12.9,29.1,3.93,17.2,3.7,1.2,3.79,0.57,3.36,0.65,1.78,0.25,1.8,0.23
21,40911,13,,OVD-002,75.5m,,,gabbro,Mireslab,x,,,,,,Strong altered diabase,,,,,,,,Diabase,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,68.3,98.6,0.003,0.01,0.004,0.22,7.83,6,224,1,0.07,0.92,0.09,28.3,106,7.3,21.5,1.57,76,2.44,1040,0.7,2.19,0.0591,7.6,0.99,0.27,427,1.2,0.39,0.14,0.96,188,0.3,108,86.1,,26.1,2.6,0.09,0.9,,1,2.86,,0.17,15.8,27.4,8,18.7,,,,,,0.52,,,,,2,0.3
22,40912,16,,OVD-002,137.6m,,,spotted,Mireslab,x,,,,,,Black Schist (weak schistosity),,,,,,,,Schist,,,,,,,,,,,,,,,,,,,,,37.4,66.2,0.001,0.01,0.003,0.15,8.86,4,164,0.6,0.04,2.53,0.09,21.7,82,6.89,19.3,0.84,89,2,1112,0.31,4.14,0.0375,4.6,0.71,0.22,336,0.7,0.55,0.08,0.36,166,0.3,96,66.7,,7.5,2.2,0.06,0.9,,,2.35,,0.15,16.1,24.3,3.9,9.99,,,,,,0.51,,,,,1.9,0.25
23,40913,8,,OVD-001,68m,,,schist?,Mireslab,x,,,,,,"Ore mineralized, altered fine-medium grained biotite subalkaline diorite",Hypidiomorph,?,?,Py-Cpy-Pn-Cubanite-Mag,The sample could be changed. Need to be checked,,,Alkalic Bt Diorite,Mafic (Pyroxenite),10.98,0.15,1.4,0.03,30.37,0.51,4.54,0.17,1.6,0.12,9.89,32.27,,0.59,,0.67,0.02,,93.9,1.19,8698,0.122,0.2,0.216,4.17,5.52,9,105,,1.8,0.84,1.8,542,195,19.33,11,,42,2.94,1084,,,0.03,42,14.66,0.5,220,0.8,0.33,,0.55,113,,97,13.1,,5.4,3,0.2,2,2.1,0.9,2,2,,13.6,18,7.5,16.2,2.06,9.5,2.3,0.7,2.59,0.41,2.71,0.52,1.4,0.21,1.5,0.24
24,40914,3,,OVD-001,9.4m,,,gabbro,Oyunjargal,x,,,,eds,,Gossan (Iron-copper oxide. Altered Gabbro?),,,,,,,,Gossan,,,,,,,,,,,,,,,,,,,,,2060,243400,0.114,0.16,0.17,23.2,1,,26,,2.4,4.27,2.1,234,202,22.4,,,0,0.14,270,5,,,52,2.97,,217,,0.03,,3.87,27,1,36,1.4,,,,0.3,4,2.15,,,1,,2.1,,1.1,3.9,0.41,1.7,0.4,0.15,0.55,0.08,0.47,0.11,0.23,,0.2,
25,40915,40,,OVD-009,72m,,,gossan,Mireslab,x,,,,eds,,Altered Amphibole-Orthopyroxene micro-gabbro,,,,,,,,Amph-Opx Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,203,44.2,0.001,0.01,0.001,,7.26,3,174,0.6,,5.77,0.07,51.1,417,7.25,15.4,0.45,20,7.15,1269,0.63,2.38,0.1167,1.6,0.09,,673,1.2,0.63,0.02,0.53,167,,78,84.6,,6.4,3.7,0.05,0.6,,,0.58,,0.22,20.7,29.1,13.9,34.2,,,,,,0.66,,,,,2.1,0.3
26,40763,35,,OVD-008,84.5m,,,gabbro,Mireslab,x,,,,,,Intensively altered fine-meduim grained olivine-amphibole gabbro (melanocratic gabbro),"Hypidiomorph, poikiloophitic","Pl-20-30%, Amph-40-45%, Ol-10-15%, Bt-5%",Serp-Talc-Soss-Act-Chl-Ser-Carb,Po-Cpy-Pn-Mag,,,,Ol-Gabbro or Hb-Perdidotite,Ultramafic (Harzburgite/Dunite),7.91,0.02,4.13,0.16,19.64,0.39,17.74,0.18,1.02,0.17,5.43,39.66,,0.63,,0.15,0.01,,97.86999999999999,3576,5492,0.053,0.04,0.01,3.24,4.7,,120,,1.7,3.05,1.7,250,901,13.32,9,0.31,20,10.37,1166,,,0.07,38,3.88,,308,1.4,0.38,,0.38,100,,101,69.9,,5.3,2,,2,0.93,0.6,1,1,,14.5,13,9.2,22.1,3.12,12.7,3.5,0.87,2.67,0.46,2.51,0.51,1.69,0.21,1.4,0.2
27,41011,26,,OVD-007,50m,,,Gabbro,Khanlab,x,,,,,,"Mineralized, fine- medium grained hornblende pyroxene melanocratic gabbro (Peridotite?) ","Panidiomorphic, poikiloophitic, poikilitic","Alt Opx+Cpx-55-60%, Hb-15-20%, Alt Pl<10%, Alt Ol-5-10%, Bt-3-5%",Serp-Talc-Act-Chl-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,Opx and Ol are altered to serpentine and talc by the rim. Hb strongly replaced by actinolite and sometimes includes Cpx relic aggregates.,,,Hb-Px Gabbro or Peridotite,Ultramafic (Harzburgite/Dunite),5.83,,3.65,0.17,15.27,0.39,22.76,0.22,0.49,0.13,2.98,39.95,,0.5,,0.06,,,92.9,2108,1739,0.021,0.02,0.021,1.35,3.74,,112,,0.5,2.76,0.5,157,1298,11.83,10,0.9,18,14.95,1383,,,0.05,13,1.52,0.3,288,0.5,0.31,,0.42,89,,109,39.6,,7.4,2,,,0.32,1,1,3,,10.6,11,6.4,15.5,2.12,8.8,2,0.61,2.15,0.33,1.97,0.36,1,0.13,1,0.16
28,41012,17,,OVD-003,155.3m,,,Gabbro,Khanlab,x,,,,,,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Nevadite porphyritic, sub-ophitic, poikiloophitic","Alt Pl-45-50%, Hb-35-40%, Cpx-5-10%, Bt-1-3%",Serp-Talc-Act-Chl-Ser-Carb,Mag-illm-Py-Cpy,"similar description as OVD008-88.9, plus serpitinization observed in the sample",,,Px-Hb Gabbro,Mafic (Pyroxenite),12.2,0.05,5.87,0.09,11.59,0.33,14.15,0.18,2.05,0.25,1.73,45.04,,1.02,,0.07,,,95.63999999999999,1257,1098,0.012,0.01,0.013,0.53,6.84,,157,,0.3,4.31,0.5,104,655,9.04,14,0.2,23,8.97,1283,,,0.11,9,0.89,0.2,460,1.4,0.63,,0.49,147,,97,90.6,,3.9,5,,,0.26,0.3,3,2,,22,23,14.4,30.6,4.03,18,4.5,1.4,4.82,0.66,3.9,0.84,2.18,0.34,2,0.31
29,41013,33,,OVD-008,40.1m,,,Gabbro,Khanlab,x,,,,,,Intensive metasomatic altered gabbrodiorite porphyry,"Relict porphyriric, microgranoblast, massive","Alt Pl-30-35%, Hb-30-35%",Ser-Pelite-Act-Epi-Chl-Qtz,illm-Py-Cpy,"Same as above sample. Plus, ore minerals usually associated with Hb phases. ",,,Porphyritic Gabbrodiorite,Mafic (Pyroxenite),12.67,0.03,7.23,0.09,10.47,0.63,12.53,0.17,1.94,0.2,0.14,46.93,,0.76,,,0.01,,94.56000000000002,278,34,0.001,0.01,0.01,,7.21,,229,,,5.66,,62.7,712,7.49,15,0.66,22,7.64,1321,,,0.09,9,0.1,0.1,632,1.2,0.5,,0.36,144,,68,84,,8.6,3,,,0.2,0.5,2,2,,16.9,27,11.9,29.7,3.76,16.8,3.7,1.23,4.11,0.57,3.41,0.67,1.92,0.25,1.8,0.26
30,41014,50,,OVD-009,195.2m,,,Gabbro,Khanlab,x,,,,,,"Mineralized, altered porphyritic fine -medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?)  ","Porphyritic, sub-ophitic, poikiloophitic","Alt Px-50-55%, Alt Ol-15-20%, Hb-10-15%, Bt-8-10%",Serp-Talc-Act-Chl-Mus-Ser-Carb,Mag-illm-Chromite-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021,,,Hb-Px Gabbronorite,Ultramafic (Harzburgite/Dunite),7.65,0.02,5.3,0.15,13.74,0.35,20.36,0.21,0.44,0.2,3.65,40.31,,0.67,,0.17,0.02,,93.91,1857,1509,0.03,0.02,0.03,0.8,4.38,13,69,,0.3,3.73,0.5,136,950,10.14,10,,41,12.53,1506,,,0.08,6,1.56,,328,0.6,0.39,,0.37,93,,95,67.7,,8.4,3,,,0.31,1.7,2,2,,13.5,14,8.9,20.7,2.7,12.3,2.6,0.89,2.95,0.4,2.8,0.56,1.27,0.24,1.4,0.21
31,41015,44,,OVD-009,149.5m,,,Gabbro,Khanlab,x,,,,,,Altered gabbrodiorite porphyry,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-75-80%, Hb-15-20%",Act-Chl-Epi-Ser-Carb,illm-Tnt-Py-Cpy,,,,Pophyritic Gabbrodiorite,Mafic (Pyroxenite),13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.2,0.02,,96.21,1432,1419,0.013,0.01,0.017,0.77,6.56,8,162,,0.2,3.63,0.6,116,601,8.22,14,0.32,27,7.03,1117,,,0.08,12,1.32,,375,0.8,0.43,,0.44,129,,78,81.3,,9,3,,1,0.3,0.5,2,1,,16.1,18,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28
32,41016,48,,OVD-009,171.5m,,,Gabbro,Khanlab,x,,,,,,Mineralized and altered fine- medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?) ,"Panidiomorphic, poikiloophitic, poikilitic","Alt Px-40-45%, Alt Ol-15-20%, Hb-10-15%, Alt Pl-10%, Bt-1-3%",Serp-Talc-Act-Bt-Chl-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021,,,Hb-Peridotite?,Ultramafic (Harzburgite/Dunite),4.23,,2.75,0.15,29.33,0.13,18.87,0.18,0.14,0.06,7.24,28.47,,0.29,,0.19,,0.01,92.32000000000002,1.2,16800,0.233,0.14,0.193,11,2.97,,42,,4.8,2.11,4.5,443,1113,24.74,6,,0,13.15,1427,,,0.05,101,9.69,,197,0.2,0.21,,0.1,59,,153,35,,2.2,1,0.3,4,4.13,0.5,,1,,5.6,10,3.3,8.1,1.04,4.8,1,0.38,1.12,0.17,1.25,0.21,0.55,0.09,0.6,0.09
33,41017,47,,OVD-009,161m,,,Gabbro,Khanlab,x,,,,,,Mineralized altered porphyritic medium-fine grained hornblende pyroxene melanocratic gabbronorite (Peridotite?) ,"Porphyritic, sub-ophitic, poikiloophitic","Serp pseudo aft Ol-Px-55-60%, Hb-15-20%, Alt Pl-10-15%, Bt-5%",Serp-Chl-Act-Bt-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021,,,Hb-Px Gabbronorite or Peridotite,Ultramafic (Harzburgite/Dunite),8.02,0.06,2.86,0.15,17.36,0.24,21.39,0.18,0.12,0.15,4.95,40.02,,0.63,,0.41,0.01,,97.17999999999999,3870,4165,0.044,0.04,0.053,2.51,4.43,,57,,1.1,2.04,1.2,220,1090,12.85,10,,28,13.2,1327,,,0.08,13,3.06,,156,0.5,0.42,,0.28,96,,102,68.7,,4,3,,1,0.98,1.1,2,1,,12.5,15,7.7,18.4,2.42,10.4,2.6,0.81,2.65,0.41,2.64,0.51,1.33,0.17,1.4,0.18
