HOLE_ID,Depth (m),Dip,Azim (Orig),Grid (Orig),Azim (UTM),"SURVEY
METHOD","DH SURVEY
COMPANY","SURVEY
DATE"
OVD014,0,-59.11,235.57,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD014,50.5,-59.11,235.57,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD014,101,-59.28,236.88,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD014,143.5,-59.69,237.57,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD014,149.5,-59.69,237.57,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD016,0,-56.79,59.48,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD016,50.5,-56.79,59.48,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD016,80.5,-56.79,59.48,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD017,0,-53.75,247.42,WGS84_46N,,MS,Bayan Undraga LLC,7/27/2024
OVD017,13.7,-53.75,247.42,WGS84_46N,,MS,Bayan Undraga LLC,7/27/2024
OVD017,61.7,-54.51,246.59,WGS84_46N,,MS,Bayan Undraga LLC,7/28/2024
OVD018,0,-53.86,238.27,WGS84_46N,,MS,Bayan Undraga LLC,7/28/2024
OVD018,50,-53.86,238.27,WGS84_46N,,MS,Bayan Undraga LLC,7/28/2024
OVD018,59.2,-53.86,238.27,WGS84_46N,,MS,Bayan Undraga LLC,7/28/2024
OVD009,0,-77.72,242.19,WGS84_46N,,MS,Bayan Undraga LLC,7/27/2024
OVD009,56,-77.72,242.19,WGS84_46N,,MS,Bayan Undraga LLC,7/27/2024
OVD009,104,-77.87,242.63,WGS84_46N,,MS,Bayan Undraga LLC,7/27/2024
OVD009,144,-78.15,243.14,WGS84_46N,,MS,Bayan Undraga LLC,7/27/2024
OVD009,198,-78.91,244.64,WGS84_46N,,MS,Bayan Undraga LLC,7/27/2024
OVD009,240,-78.91,244.64,WGS84_46N,,MS,Bayan Undraga LLC,7/28/2024
OVD019,0,-47.93,222.56,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,5,-47.82,222.48,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,10,-48.67,222.31,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,15,-48.81,222.39,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,20,-48.63,222.44,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,25,-48.57,222.61,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,30,-48.55,222.72,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,35,-48.38,222.5,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,40,-48.55,222.44,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,45,-48.41,222.36,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,50,-48.32,222.36,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,55,-48.3,222.3,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,60,-48.26,222.45,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,65,-48.09,222.33,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,70,-48.12,222.26,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,75,-47.87,222.14,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,80,-47.55,221.9,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,80.54,-47.55,221.92,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
OVD019,91.2,-47.55,221.92,WGS84_46N,,MS,Bayan Undraga LLC,11/18/2024
SC01,0,-60.65,216.26,WGS84_46N,,MS,Bayan Undraga LLC,8/3/2024
SC01,13.8,-60.65,216.26,WGS84_46N,,MS,Bayan Undraga LLC,8/3/2024
SC01,61.8,-60.11,215.38,WGS84_46N,,MS,Bayan Undraga LLC,8/3/2024
OVD015,0,-56.17,62.53,WGS84_46N,,MS,Bayan Undraga LLC,7/30/2024
OVD015,51,-56.17,62.53,WGS84_46N,,MS,Bayan Undraga LLC,7/30/2024
OVD015,101,-55.88,64.53,WGS84_46N,,MS,Bayan Undraga LLC,8/1/2024
OVD015,150,-55.91,66.62,WGS84_46N,,MS,Bayan Undraga LLC,8/3/2024
OVD015,200,-56.08,64.52,WGS84_46N,,MS,Bayan Undraga LLC,8/4/2024
OVD015,213.7,-56.08,64.52,WGS84_46N,,MS,Bayan Undraga LLC,8/4/2024
OVD012,0,-66.12,172.76,WGS84_46N,,MS,Bayan Undraga LLC,8/5/2024
OVD012,50,-66.12,172.76,WGS84_46N,,MS,Bayan Undraga LLC,8/5/2024
OVD012,100,-66.33,173.05,WGS84_46N,,MS,Bayan Undraga LLC,8/6/2024
OVD012,150,-66.18,173.74,WGS84_46N,,MS,Bayan Undraga LLC,8/7/2024
OVD012,200,-66.12,174.63,WGS84_46N,,MS,Bayan Undraga LLC,8/8/2024
OVD012,230,-66.38,173.47,WGS84_46N,,MS,Bayan Undraga LLC,8/9/2024
OVD012,260,-66.18,172.65,WGS84_46N,,MS,Bayan Undraga LLC,8/10/2024
OVD012,320,-66.41,182.68,WGS84_46N,,MS,Bayan Undraga LLC,8/12/2024
OVD012,347.5,-66.47,173.32,WGS84_46N,,MS,Bayan Undraga LLC,8/14/2024
OVD012,354.3,-66.47,173.32,WGS84_46N,,MS,Bayan Undraga LLC,8/14/2024
OVD020,0,-78.18,253.49,WGS84_46N,,MS,Bayan Undraga LLC,8/8/2024
OVD020,50,-78.18,253.49,WGS84_46N,,MS,Bayan Undraga LLC,8/8/2024
OVD020,101.5,-78.58,255.7,WGS84_46N,,MS,Bayan Undraga LLC,8/8/2024
OVD020,130.5,-78.89,253.32,WGS84_46N,,MS,Bayan Undraga LLC,8/9/2024
OVD020,160,-79.21,254.44,WGS84_46N,,MS,Bayan Undraga LLC,8/10/2024
OVD020,179.5,-79.21,254.44,WGS84_46N,,MS,Bayan Undraga LLC,8/10/2024
SC03,0,-59.22,211.16,WGS84_46N,,MS,Bayan Undraga LLC,8/21/2024
SC03,30,-59.22,211.16,WGS84_46N,,MS,Bayan Undraga LLC,8/21/2024
SC03,60,-59.06,211.11,WGS84_46N,,MS,Bayan Undraga LLC,8/21/2024
SC03,90,-58.91,211.56,WGS84_46N,,MS,Bayan Undraga LLC,8/25/2024
SC03,116,-58.67,211.62,WGS84_46N,,MS,Bayan Undraga LLC,8/26/2024
SC03,116.5,-58.67,211.62,WGS84_46N,,MS,Bayan Undraga LLC,8/26/2024
SC04,0,-67.62,212.2,WGS84_46N,,MS,Bayan Undraga LLC,9/11/2024
SC04,30,-67.62,212.2,WGS84_46N,,MS,Bayan Undraga LLC,9/11/2024
SC04,60,-67.72,211.92,WGS84_46N,,MS,Bayan Undraga LLC,9/11/2024
SC04,89.5,-67.65,212.44,WGS84_46N,,MS,Bayan Undraga LLC,9/5/2024
SC04,120,-67.76,211.09,WGS84_46N,,MS,Bayan Undraga LLC,9/11/2024
SC04,150.5,-67.72,212.39,WGS84_46N,,MS,Bayan Undraga LLC,9/7/2024
SC04,179.5,-67.17,212.57,WGS84_46N,,MS,Bayan Undraga LLC,9/8/2024
SC04,209.5,-66.73,213.2,WGS84_46N,,MS,Bayan Undraga LLC,9/8/2024
SC04,239.5,-66.73,213.18,WGS84_46N,,MS,Bayan Undraga LLC,9/8/2024
SC04,280.5,-66.35,212.72,WGS84_46N,,MS,Bayan Undraga LLC,9/11/2024
SC04,281.5,-66.35,212.72,WGS84_46N,,MS,Bayan Undraga LLC,9/11/2024
CRS01,0,-60.62,175.78,WGS84_46N,,MS,Bayan Undraga LLC,8/20/2024
CRS01,52.7,-60.62,175.78,WGS84_46N,,MS,Bayan Undraga LLC,8/20/2024
CRS01A,0,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,14.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,44.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,74.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,104.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,134.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,164.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,194.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
CRS01A,200.5,-70,30,WGS84_46N,,MS,Bayan Undraga LLC,9/10/2024
OVD013,0,-76.98,239.85,WGS84_46N,,MS,Bayan Undraga LLC,9/13/2024
OVD013,32.9,-76.98,239.85,WGS84_46N,,MS,Bayan Undraga LLC,9/13/2024
OVD013,53.9,-77.43,241.58,WGS84_46N,,MS,Bayan Undraga LLC,9/13/2024
OVD013,92.9,-77.42,241.15,WGS84_46N,,MS,Bayan Undraga LLC,9/14/2024
OVD013,122.9,-77.65,239.65,WGS84_46N,,MS,Bayan Undraga LLC,9/15/2024
OVD013,155.9,-77.31,245.12,WGS84_46N,,MS,Bayan Undraga LLC,9/15/2024
OVD013,161.15,-77.31,245.12,WGS84_46N,,MS,Bayan Undraga LLC,9/15/2024
OVD021,0,-61.15,150.28,WGS84_46N,,MS,Bayan Undraga LLC,9/13/2024
OVD021,29.5,-61.15,150.28,WGS84_46N,,MS,Bayan Undraga LLC,9/13/2024
OVD021,59.5,-61.33,147.25,WGS84_46N,,MS,Bayan Undraga LLC,9/13/2024
OVD021,89.5,-61.77,148.23,WGS84_46N,,MS,Bayan Undraga LLC,9/14/2024
OVD021,119.5,-61.79,148.65,WGS84_46N,,MS,Bayan Undraga LLC,9/16/2024
OVD021,149.5,-61.76,148.87,WGS84_46N,,MS,Bayan Undraga LLC,9/16/2024
OVD021,184.5,-61.65,149.29,WGS84_46N,,MS,Bayan Undraga LLC,9/16/2024
OVD003,29,-61.52,61.6,WGS84_46N,,MS,Bayan Undraga LLC,9/18/2024
OVD003,59,-61.28,61.1,WGS84_46N,,MS,Bayan Undraga LLC,9/18/2024
OVD003,89,-60.66,61.5,WGS84_46N,,MS,Bayan Undraga LLC,9/18/2024
OVD003,119,-60.28,62,WGS84_46N,,MS,Bayan Undraga LLC,9/18/2024
OVD003,149,-60.36,65.2,WGS84_46N,,MS,Bayan Undraga LLC,9/18/2024
OVD003,179,-60.42,67.9,WGS84_46N,,MS,Bayan Undraga LLC,9/17/2024
OVD003,209.5,-60.4,67.9,WGS84_46N,,MS,Bayan Undraga LLC,9/17/2024
OVD001,0,-60,260,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,9,-60,260.7,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,15,-60,263.3,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,21,-60,263.8,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,27,-60,264,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,33,-60,264.6,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,39,-60,264.3,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,45,-60,264.4,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,51,-60,264,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,57,-60,263.5,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,63,-60,262.4,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,69,-60,263.6,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,75,-60,264.3,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD001,93.4,-60,263.9,WGS84_46N,,,Bayan Undraga LLC,5/6/2023
OVD002,0,-90,0,WGS84_46N,,,Bayan Undraga LLC,Vertical hole
OVD002,167.5,-90,0,WGS84_46N,,,Bayan Undraga LLC,Vertical hole
OVD004,0,-60,212.9,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,13,-60,213.5,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,19,-60,213,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,25,-60,214.5,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,31,-60,214.5,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,37,-60,214.6,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,43,-60,214.4,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,49,-60,214.3,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,55,-60,214.5,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,61,-60,214.4,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,67,-60,214.4,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,73,-60,214.5,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,79,-60,213.8,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,85,-60,213.9,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,91,-60,213.9,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD004,94.5,-60,213.9,WGS84_46N,,,Bayan Undraga LLC,5/18/2023
OVD005,0,-60,58.4,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,11,-60,63,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,17,-60,61.8,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,23,-60,61.4,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,29,-60,66.5,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,35,-60,63.1,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,41,-60,65.4,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,47,-60,63.4,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,53,-60,62.7,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,59,-60,66.9,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,65,-60,62,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,71,-60,61.5,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,77,-60,59.2,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,83,-60,61,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,89,-60,61.5,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,95,-60,61.5,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD005,101.5,-60,61.5,WGS84_46N,,,Bayan Undraga LLC,5/20/2023
OVD006,0,-60,275,WGS84_46N,,,Bayan Undraga LLC,Hole collapsed
OVD006,56.5,-60,275,WGS84_46N,,,Bayan Undraga LLC,Hole collapsed
OVD007,0,-59.3,236.8,WGS84_46N,,,Bayan Undraga LLC,9/19/2024
OVD007,30,-59.3,237.8,WGS84_46N,,,Bayan Undraga LLC,9/19/2024
OVD007,60,-59.3,234.5,WGS84_46N,,,Bayan Undraga LLC,9/19/2024
OVD007,93,-59.3,234.5,WGS84_46N,,,Bayan Undraga LLC,9/19/2024
OVD007,100.7,-59.3,234.5,WGS84_46N,,,Bayan Undraga LLC,5/24/2023
OVD022,0,-62.25,146.94,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,5,-61.78,146.28,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,10,-61.85,146.09,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,15,-62,146.42,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,20,-62.29,146.81,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,25,-62.3,147.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,30,-62.4,147.8,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,35,-62.3,147.9,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,40,-62.2,147.7,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,45,-62.1,148,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,50,-62.1,148.2,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,55,-62.1,148.2,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,60,-62.1,148.2,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,65,-62.2,148.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,70,-62,148.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,75,-62.1,148.5,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,80,-62.2,148.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,85,-62.2,148.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,90,-62.4,148.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,95,-62.1,148.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,100,-61.9,148.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,105,-61.8,148.7,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,110,-61.7,148.7,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,115,-61.8,148.8,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,120,-61.9,148.7,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,125,-62,149,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,130,-62,149.1,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,135,-62,149.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,140,-61.9,149.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,145,-61.7,149.5,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,150,-61.8,149.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,155,-61.7,149.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,160,-61.7,149.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD022,164.4,-61.7,149.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/7/2024
OVD023,0,-59.6,145.2,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,5,-59.5,144.9,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,10,-59.4,144.9,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,15,-59.1,145,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,20,-59.3,145,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,25,-59.4,145.1,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,30,-59.4,145.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,35,-59,145.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,40,-58.9,145.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,45,-59,145.7,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,50,-58.7,145.7,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,55,-58.5,145.5,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,60,-58.7,145.5,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,65,-58.4,145.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,70,-58.4,145.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,75,-58.5,145.5,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,80,-58.3,145.5,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,85,-58.5,145.5,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,90,-58.6,145.6,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,95,-58.6,145.7,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,100,-58.4,145.8,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,105,-58.4,146,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,110,-58.2,146.2,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,115,-58,146.2,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,120,-58.2,146.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,125,-57.9,146.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,130,-57.9,146.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,135,-58,146.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,140,-58,146.3,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,145,-58.1,146.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD023,149.9,-58.1,146.4,WGS84_46N,,GY,Ragnarok Investment LLC,11/10/2024
OVD024,0,-64.9,43.7,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,5,-64.8,43.5,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,10,-64.9,43.4,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,15,-64.6,43.3,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,20,-64.4,43.3,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,25,-64.2,43.4,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,30,-64.3,43.4,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,35,-64.3,43.7,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,40,-64.1,43.7,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,45,-64,43.9,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,50,-63.8,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,55,-63.7,44.4,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,60,-63.7,44.6,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,65,-63.6,44.4,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,70,-63.7,44.5,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,75,-63.4,44.3,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,80,-63.4,44.3,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,85,-63.2,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,90,-63.1,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,95,-63.3,43.9,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,100,-63.3,44,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,105,-63.4,44,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,110,-63.5,44.2,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,115,-63.3,44.2,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,120,-63.2,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,125,-63.2,44.2,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,130,-63.1,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,135,-63,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,140,-63.1,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,145,-63.1,44.1,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,150,-63.1,44,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,155,-63.2,44,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,160,-63.3,43.8,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,165,-63.2,43.8,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD024,170.4,-63.4,43.9,WGS84_46N,,GY,Ragnarok Investment LLC,15/11/2024
OVD025,0,-54.5,232.2,WGS84_46N,,GY,Ragnarok Investment LLC,17/11/2024
OVD025,5,-54.3,231.7,WGS84_46N,,GY,Ragnarok Investment LLC,17/11/2024
OVD025,10,-54.4,231.8,WGS84_46N,,GY,Ragnarok Investment LLC,17/11/2024
OVD025,15,-54.4,231.7,WGS84_46N,,GY,Ragnarok Investment LLC,17/11/2024
OVD025,20,-54.4,231.7,WGS84_46N,,GY,Ragnarok Investment LLC,17/11/2024
OVD025,25,-54.4,231.5,WGS84_46N,,GY,Ragnarok Investment LLC,17/11/2024
OVD025,30,-54.2,231.5,WGS84_46N,,GY,Ragnarok Investment LLC,17/11/2024
