ioGAS number,Rock type,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
11,,13.75,,4.7,0.06,13.98,0.52,10.18,0.17,2.35,0.26,4.17,44,,1.09,,0.33,0.03,0.02,2455,2769,0.026,0.03,0.03,1.81,7.4,24,182,,0.6,3.1,0.9,149,392,9.61,17,0.27,24,6.11,1253,,,0.09,17,2.46,0.3,400,1.6,0.61,,0.69,149,,113,118,,6.1,5,,2,0.37,0.4,3,2,,21,23,13.8,31,4.24,18.5,4,1.3,4.75,0.65,4.08,0.81,2.17,0.32,2.2,0.31
12,Amph Gabbro,,,,,,,,,,,,,,,,,,,102,91.79999999999998,0.001,0.01,0.005,,7.99,7,158,0.9,,0.39,0.04,30.4,171,8.25,22.8,1.36,71,3.15,1020,0.27,1.58,0.0322,3.4,0.28,0.11,146,0.5,0.23,0.1,0.6,172,0.3,69,22.9,,11.5,1.6,0.04,0.3,,,1.07,,0.11,6.3,28.8,2.5,6.65,,,,,,0.26,,,,,1.1,0.17
13,Diabase,,,,,,,,,,,,,,,,,,,68.3,98.6,0.003,0.01,0.004,0.22,7.83,6,224,1,0.07,0.92,0.09,28.3,106,7.3,21.5,1.57,76,2.44,1040,0.7,2.19,0.0591,7.6,0.99,0.27,427,1.2,0.39,0.14,0.96,188,0.3,108,86.1,,26.1,2.6,0.09,0.9,,1,2.86,,0.17,15.8,27.4,8,18.7,,,,,,0.52,,,,,2,0.3
14,Phyllite,,,,,,,,,,,,,,,,,,,13.1,66,0.002,0.01,0.002,0.17,8.31,5,85,0.6,0.05,5.59,0.07,17.9,24,6.86,17.4,0.63,81,1.95,2596,0.46,2.72,0.0817,5.7,0.29,0.13,348,1,0.64,0.06,0.65,187,0.4,102,98,,13.5,2,0.08,0.9,,,3.11,,0.14,28.7,25.3,8.8,21.1,,,,,,0.83,,,,,2.9,0.42
15,Schist,,,,,,,,,,,,,,,,,,,65.5,90.4,0.002,0.01,0.003,0.13,9,5,231,0.8,0.06,3.55,0.09,26.7,150,6.88,20.1,1.14,86,2.68,1107,0.42,2.5,0.0558,8.2,0.71,0.21,456,1.7,0.49,0.11,0.98,159,0.4,89,91.6,,21.5,3.1,0.06,0.8,,,2.89,,0.21,22.4,30.7,10,23.3,,,,,,0.66,,,,,2.3,0.33
16,Schist,,,,,,,,,,,,,,,,,,,37.4,66.2,0.001,0.01,0.003,0.15,8.86,4,164,0.6,0.04,2.53,0.09,21.7,82,6.89,19.3,0.84,89,2,1112,0.31,4.14,0.0375,4.6,0.71,0.22,336,0.7,0.55,0.08,0.36,166,0.3,96,66.7,,7.5,2.2,0.06,0.9,,,2.35,,0.15,16.1,24.3,3.9,9.99,,,,,,0.51,,,,,1.9,0.25
17,Px-Hb Gabbro,12.2,0.05,5.87,0.09,11.59,0.33,14.15,0.18,2.05,0.25,1.73,45.04,,1.02,,0.07,,,1257,1098,0.012,0.01,0.013,0.53,6.84,,157,,0.3,4.31,0.5,104,655,9.04,14,0.2,23,8.97,1283,,,0.11,9,0.89,0.2,460,1.4,0.63,,0.49,147,,97,90.6,,3.9,5,,,0.26,0.3,3,2,,22,23,14.4,30.6,4.03,18,4.5,1.4,4.82,0.66,3.9,0.84,2.18,0.34,2,0.31
18,Amph Gabbro,11.38,0.12,5.13,0.09,14.31,0.32,13.59,0.17,1.62,0.25,4.16,41.86,,0.92,,0.15,,,2793,3680,0.037,0.04,0.048,2.48,6.49,,154,,1,3.83,1,152,653,11.34,14,0.17,25,8.81,1264,,,0.1,14,2.87,,390,1.1,0.58,,0.46,138,,100,90.3,,3.9,5,,2,0.83,0.4,3,2,,19.9,22,11.9,28.3,3.73,16.5,4.2,1.23,4.32,0.6,3.34,0.78,2.21,0.3,1.9,0.3
19,Amph Gabbro,10.62,0.04,5.54,0.07,14.27,0.21,8.71,0.13,1.74,0.21,2.52,47.86,,0.86,,0.17,0.03,,1607,1704,0.048,0.03,0.041,1.19,6.65,,132,,0.5,4.04,1.1,107,485,10.69,12,0.3,25,6.1,935,,,0.08,14,1.23,0.2,411,0.9,0.5,,0.46,124,,77,91.3,,1.9,4,,,0.9,0.9,2,2,,15.7,22,9.2,21.7,2.8,12.9,3.2,1.06,3.42,0.51,3.1,0.61,1.59,0.24,1.6,0.22
20,Amph Gabbro,,,,,,,,,,,,,,,,,,,567,224,0.002,0.01,0.004,0.22,12.53,13,289,1,0.09,0.61,0.34,40.2,138,8.27,22.2,1.78,94,2.66,888,3.36,1.49,0.077,8.2,0.49,0.39,468,1.1,0.5,0.21,1.63,191,0.6,107,73.2,4,21.3,3.2,0.09,1,0.09,2,2.26,,0.22,13.3,30.2,5.3,13.4,,,,,,0.46,,,,,1.8,0.26
21,Amph-Opx Gabbro,,,,,,,,,,,,,,,,,,,40.7,25.4,0.01,0.01,0.001,0.43,8.85,,572,1.4,,4.67,0.09,22.7,64,6.05,20.1,1.19,26,2.45,986,0.54,3.13,0.2711,7.8,0.26,0.08,1220,5.1,0.84,0.06,1.4,175,0.3,95,166,,13.1,8.5,0.06,1.2,,,5.39,,0.48,25.5,16.4,45.1,103,,,,,,0.97,,,,,2.1,0.32
22,Ol-Hb-Px Peridotite,6.72,0.04,8.97,0.14,10.88,0.23,18.19,0.17,0.71,0.13,0.04,37.27,,0.51,,0.04,,,809,506,0.008,0.01,0.005,0.26,3.96,,165,,,7.19,,88.5,967,7.27,8,0.94,30,11.06,1154,,,0.05,7,0.01,,305,0.7,0.3,,0.73,81,,77,37.3,,4.7,2,,,0.07,1.5,1,1,,8.9,14,5.7,18.8,2.57,11.2,2.5,0.79,2.53,0.39,2.06,0.48,1.32,0.17,1.2,0.16
23,Amph Gabbro,5.94,0.07,3.03,0.17,16.41,0.32,24.62,0.19,0.59,0.18,4.33,38.32,,0.46,,0.09,0.01,,3195,2952,0.024,0.02,0.029,1.98,3.56,,172,,0.8,2.42,0.7,195,1372,12.34,8,0.84,15,14.98,1378,,,0.06,22,2.55,,234,0.5,0.32,,0.12,79,,103,38,,5.2,2,,,0.51,1.1,1,1,,7.8,13,4.1,15.2,2.06,9.4,2.1,0.71,2.05,0.33,1.97,0.4,1.2,0.14,1,0.15
24,Amph Gabbro,6.73,0.14,3.63,0.15,16.32,0.36,23.59,0.2,0.72,0.11,4.23,39.35,,0.53,,0.16,,,2468,2682,0.028,0.02,0.027,1.96,3.69,,115,,0.8,2.74,0.5,173,961,10.83,8,0.78,24,13.82,1259,2,,0.05,234,2.55,0.2,271,0.7,0.3,,0.2,65,,97,51.1,,5.3,2,,1,0.57,1.1,1,1,,9.2,13,4.6,16.1,2.15,9.9,2.1,0.69,2.65,0.35,2.06,0.41,1.17,0.14,1.1,0.18
25,Amph Gabbro,9,0.06,4.96,0.13,12.66,0.49,19.19,0.19,0.88,0.2,1.8,42.36,,0.73,,0.05,,,1330,2302,0.009,0.01,0.016,0.55,5.25,9,139,,0.3,3.97,,118,933,9.8,11,0.49,43,12,1352,17,,0.07,25,0.9,1.1,381,0.7,0.45,,0.24,98,1,201,79,,8.2,3,,,0.18,2,2,1,,12.4,16,5.7,19.5,2.7,12.1,3,0.92,3.41,0.47,2.91,0.62,1.58,0.22,1.5,0.22
26,Hb-Px Gabbro or Peridotite,5.83,,3.65,0.17,15.27,0.39,22.76,0.22,0.49,0.13,2.98,39.95,,0.5,,0.06,,,2108,1739,0.021,0.02,0.021,1.35,3.74,,112,,0.5,2.76,0.5,157,1298,11.83,10,0.9,18,14.95,1383,,,0.05,13,1.52,0.3,288,0.5,0.31,,0.42,89,,109,39.6,,7.4,2,,,0.32,1,1,3,,10.6,11,6.4,15.5,2.12,8.8,2,0.61,2.15,0.33,1.97,0.36,1,0.13,1,0.16
27,Porphyritic Px-Hb Gabbro,13.97,0.05,5.52,0.06,12.34,0.44,13.8,0.23,1.73,0.14,2.51,41.9,,0.46,,0.04,,,785,716,0.004,0.01,0.01,1.14,7.45,,343,,0.2,4.03,,88.7,476,9.07,16,0.78,39,8.55,1601,,,0.05,7,1.4,0.2,856,0.6,0.28,,0.39,198,,87,20.2,,7.3,1,,,0.23,0.5,1,4,,12.4,30,6.1,15.5,2.1,10.1,2.4,0.92,2.7,0.41,2.54,0.46,1.18,0.2,1.3,0.19
28,Gabbro,8.8,0.06,5.28,0.11,11.81,0.33,18.15,0.2,1.2,0.15,1.57,44.24,,0.54,,0.09,0.02,,953,381,0.007,0.01,0.012,1.18,5.2,,109,,,3.25,,109,1150,8.98,14,0.76,33,12.46,1292,,,0.08,42,0.83,0.3,314,0.7,0.45,,0.4,114,,94,75.2,,9.4,3,0.2,,0.15,2.4,2,3,,14.5,16,8.7,21.4,2.94,12.2,2.9,0.94,3.19,0.52,2.9,0.57,1.5,0.22,1.5,0.21
29,Porphyritic Gabbro,16.8,0.06,4.5,0.04,10.22,1.12,7.06,0.16,2.32,0.3,1.43,50.09,,1,,0.05,0.02,,620,597,0.013,0.01,0.01,0.33,9,9,222,,0.1,3.15,0.3,57.2,301,7.6,17,0.66,44,4.33,1186,,,0.13,16,0.73,0.2,553,1.7,0.66,,0.88,144,,95,136,,16.6,4,,1,0.16,1,3,2,,30.1,22,12.9,34.7,4.97,22,5.4,1.58,5.53,1.01,5.64,1.46,3.35,0.51,2.8,0.43
30,Schistous shale,,,,,,,,,,,,,,,,,,,37.1,79.6,0.002,0.01,0.001,,8.25,6,85,0.7,,5.78,0.07,21.2,49,6.48,17.7,0.48,80,2.37,2335,0.62,3,0.0984,4.3,0.32,0.14,386,1,0.64,0.05,0.7,192,0.4,95,91.3,,8.6,2.3,0.07,0.9,,,3.04,,0.44,28.5,22.3,9.6,23.7,,,,,,0.8,,,,,2.9,0.44
31,Porphyritic Px-Hb Gabbro,13.55,0.04,6.21,0.06,9.36,0.71,9.83,0.16,2.97,0.24,,47.96,,0.69,,,,,204,31,0.001,0.01,0.01,0.12,7.61,,261,,,4.82,,46.7,498,6.57,16,0.77,17,5.65,1149,,,0.1,7,0.01,0.2,626,1.7,0.46,,0.31,133,1,66,93.1,,11.1,4,,,0.22,0.4,3,2,,20.6,24,16.4,39.8,4.89,21.3,4.7,1.43,4.76,0.71,4.1,0.82,2.33,0.33,2.3,0.32
32,Porphyritic Px-Hb Gabbro,12.69,0.03,7.01,0.09,10.45,0.61,12.21,0.17,2.28,0.21,0.17,46.44,,0.77,,,,,237,35,0.001,0.01,0.01,0.06,7.01,,228,,,5.36,,57.8,628,6.99,14,0.68,25,6.95,1248,,,0.09,6,0.12,0.2,638,1.3,0.5,,0.48,145,6,66,105,,8.3,3,,,0.52,0.5,2,2,,17.5,27,12.2,30.4,3.76,17.1,3.9,1.26,4.05,0.59,3.38,0.68,2.07,0.29,1.7,0.27
33,Porphyritic Gabbrodiorite,12.67,0.03,7.23,0.09,10.47,0.63,12.53,0.17,1.94,0.2,0.14,46.93,,0.76,,,0.01,,278,34,0.001,0.01,0.01,,7.21,,229,,,5.66,,62.7,712,7.49,15,0.66,22,7.64,1321,,,0.09,9,0.1,0.1,632,1.2,0.5,,0.36,144,,68,84,,8.6,3,,,0.2,0.5,2,2,,16.9,27,11.9,29.7,3.76,16.8,3.7,1.23,4.11,0.57,3.41,0.67,1.92,0.25,1.8,0.26
34,Porphyritic Px-Hb Gabbro,9.93,0.02,5.81,0.13,11.8,0.33,17.37,0.19,1.13,0.19,0.24,44.77,,0.65,,,0.02,,423,44,0.001,0.01,0.01,0.41,5.4,,152,,,4.27,,72.6,874,7.72,11,0.42,31,9.69,1299,,,0.08,8,0.06,0.1,399,1,0.39,,0.42,118,,75,99.7,,5.1,2,,,0.22,0.8,2,1,,12.6,23,9.5,24.6,3.02,14,3,0.96,3.36,0.43,2.84,0.56,1.47,0.2,1.4,0.23
35,Ol-Amph Gabbro,7.91,0.02,4.13,0.16,19.64,0.39,17.74,0.18,1.02,0.17,5.43,39.66,,0.63,,0.15,0.01,,3576,5492,0.053,0.04,0.01,3.24,4.7,,120,,1.7,3.05,1.7,250,901,13.32,9,0.31,20,10.37,1166,,,0.07,38,3.88,,308,1.4,0.38,,0.38,100,,101,69.9,,5.3,2,,2,0.93,0.6,1,1,,14.5,13,9.2,22.1,3.12,12.7,3.5,0.87,2.67,0.46,2.51,0.51,1.69,0.21,1.4,0.2
36,Porphyritic Px-Hb Gabbro,10.32,0.05,5.11,0.1,15.63,0.41,13.2,0.17,1.55,0.27,4.17,43.22,,0.82,,0.05,,,2542,2592.9999999999995,0.018,0.02,0.01,1.33,6.18,,167,,0.4,3.78,0.7,175,588,10.27,13,0.34,38,7.63,1066,,,0.11,27,2.57,0.1,497,1.3,0.55,,0.57,123,,83,43.8,,6.1,3,,2,0.33,0.9,2,2,,20.8,17,12.1,29.3,4.21,17.5,4.5,1.13,3.88,0.61,3.86,0.67,2.52,0.33,1.9,0.27
37,Porphyritic Qtz Diorite,11.94,0.03,1.81,,29.55,0.67,2.69,0.12,3.67,0.09,7.23,38.28,,0.59,,0.08,0.01,,9086,12000,0.053,0.06,0.01,6.25,6.8,9,107,,3.7,1.36,3.7,397,61,20.17,17,0.51,65,1.41,786,3,,,101,10.98,,209,1.5,0.39,,0.97,110,3,116,27.7,,11.9,3,0.5,4,2.11,0.8,3,2,,20.6,14,7.1,17.3,2.57,10.7,3.1,0.77,2.95,0.54,3.68,0.66,2.55,0.35,2.1,0.32
38,Porphyritic Gabbrodiorite,,,,,,,,,,,,,,,,,,,140,30.1,0.001,0.01,0.44,0.19,7.26,6,278,0.7,,5.4,0.03,34.2,283,5.65,15.2,0.43,67,4.32,790,0.9,2.23,0.1036,3.2,,0.1,312,1.4,0.35,0.05,0.57,116,0.1,64,59,,9,2.4,0.04,0.4,,,0.5,,0.18,13.7,20.6,16.3,37.6,,,,,,0.49,,,,,1.3,0.18
39,Porphyritic Px-Hb Gabbro,,,,,,,,,,,,,,,,,,,177,42.4,0.001,0.01,0.01,,7.62,2,142,0.6,,6.47,0.06,44.8,293,6.82,15.7,0.47,30,6.08,1074,0.73,2.26,0.0974,1.9,,,569,1,0.54,0.04,0.43,167,,69,72.8,,7.8,3,0.05,0.5,,,0.54,,0.21,17.5,29.7,12.1,29.7,,,,,,0.59,,,,,1.8,0.26
40,Amph-Opx Gabbro,,,,,,,,,,,,,,,,,,,203,44.2,0.001,0.01,0.001,,7.26,3,174,0.6,,5.77,0.07,51.1,417,7.25,15.4,0.45,20,7.15,1269,0.63,2.38,0.1167,1.6,0.09,,673,1.2,0.63,0.02,0.53,167,,78,84.6,,6.4,3.7,0.05,0.6,,,0.58,,0.22,20.7,29.1,13.9,34.2,,,,,,0.66,,,,,2.1,0.3
41,Porphyritic Px-Hb Gabbro,,,,,,,,,,,,,,,,,,,210,36.3,0.001,0.01,0.001,,6.03,,187,0.6,,5.17,0.06,51.8,440,7.07,13.9,0.49,21,7.36,1233,0.66,2.3,0.0963,1.9,0.11,0.06,621,1.4,0.5,0.03,0.45,157,,79,87.3,,6.5,3.5,0.05,0.6,,,0.57,,0.26,19.7,31.7,13.1,30.9,,,,,,0.63,,,,,2,0.3
42,Porphyritic Gabbrodiorite,10.48,0.02,7.54,0.1,9.48,0.13,14.29,0.15,2.14,0.2,0.5,43.51,,0.64,,0.02,0.01,,500,231.99999999999997,0.001,0.01,0.001,,6.15,21,98,,,5.88,,71.1,738,7.27,12,,41,8.98,1154,,,0.1,10,0.24,,412,1.6,0.43,,0.53,118,,74,83.3,,2.2,3,,,,0.2,2,1,,16.3,19,13,28.6,3.6,16,3.4,1.13,3.37,0.52,3.03,0.61,1.47,0.28,1.7,0.23
43,Hb-Ol-Px Gabbro,7.45,0.11,3.95,0.16,20.9,0.39,18.82,0.18,0.47,0.16,6.2,37.87,,0.54,0.01,0.6,,,4923,5553,0.046,0.04,0.048,2.74,4.24,,107,,1.4,2.97,1.3,300,1224,15.6,9,0.23,20,12.1,1345,,,0.07,29,4.81,,309,0.8,0.35,,0.28,94,,108,59.2,,6.7,2,,1,1.01,1.2,2,1,,11.3,14,8.4,19.8,2.57,10.6,2.6,0.8,2.67,0.38,2.3,0.47,1.13,0.17,1.2,0.16
44,Pophyritic Gabbrodiorite,13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.2,0.02,,1432,1419,0.013,0.01,0.017,0.77,6.56,8,162,,0.2,3.63,0.6,116,601,8.22,14,0.32,27,7.03,1117,,,0.08,12,1.32,,375,0.8,0.43,,0.44,129,,78,81.3,,9,3,,1,0.3,0.5,2,1,,16.1,18,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28
45,Porphyritic Gabbro,13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.2,0.02,,1432,1419,0.013,0.01,0.017,0.77,6.56,8,162,,0.2,3.63,0.6,116,601,8.22,14,0.32,27,7.03,1117,,,0.08,12,1.32,,375,0.8,0.43,,0.44,129,,78,81.3,,9,3,,1,0.3,0.5,2,1,,16.1,18,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28
46,Porphyritic Px-Hb Gabbro,13.7,0.05,6.32,0.06,12.53,0.67,9.7,0.16,2.66,0.19,4.17,45.14,,0.67,,0.3,0.01,,2254,2675,0.023,0.03,0.033,1.54,6.76,,148,,0.7,4.14,0.8,157,468,8.45,16,0.33,22,5.21,1072,,,0.08,11,2.31,,399,1,0.4,,0.5,112,,71,87.7,,11.1,3,,1,0.66,0.3,3,1,,16.9,18,13.3,30.3,3.96,17,3.7,1.19,3.74,0.53,3.43,0.68,1.51,0.27,1.9,0.24
47,Hb-Px Gabbronorite or Peridotite,8.02,0.06,2.86,0.15,17.36,0.24,21.39,0.18,0.12,0.15,4.95,40.02,,0.63,,0.41,0.01,,3870,4165,0.044,0.04,0.053,2.51,4.43,,57,,1.1,2.04,1.2,220,1090,12.85,10,,28,13.2,1327,,,0.08,13,3.06,,156,0.5,0.42,,0.28,96,,102,68.7,,4,3,,1,0.98,1.1,2,1,,12.5,15,7.7,18.4,2.42,10.4,2.6,0.81,2.65,0.41,2.64,0.51,1.33,0.17,1.4,0.18
48,Hb-Px Gabbronorite,4.23,,2.75,0.15,29.33,0.13,18.87,0.18,0.14,0.06,7.24,28.47,,0.29,,0.19,,0.01,1.2,16800,0.233,0.14,0.193,11,2.97,,42,,4.8,2.11,4.5,443,1113,24.74,6,,0,13.15,1427,,,0.05,101,9.69,,197,0.2,0.21,,0.1,59,,153,35,,2.2,1,0.3,4,4.13,0.5,,1,,5.6,10,3.3,8.1,1.04,4.8,1,0.38,1.12,0.17,1.25,0.21,0.55,0.09,0.6,0.09
49,Porphyritic Px-Hb Gabbro,7.09,0.08,3.61,0.13,19.79,0.33,20.06,0.17,0.7,0.15,5.41,37,,0.49,,0.5,0.01,,5333,9775,0.146,0.11,0.133,7.45,4.14,15,99,,3.2,2.64,3,254,961,14.72,9,0.15,19,12.75,1301,,,0.07,64,4.06,,319,0.5,0.33,,0.26,81,,114,58.9,,6.3,3,,3,2.69,0.8,2,1,,10,12,7.2,16.5,2.13,9.5,2.2,0.7,2.23,0.32,1.97,0.4,1.19,0.17,1,0.18
50,Hb-Px Gabbronorite,7.65,0.02,5.3,0.15,13.74,0.35,20.36,0.21,0.44,0.2,3.65,40.31,,0.67,,0.17,0.02,,1857,1509,0.03,0.02,0.03,0.8,4.38,13,69,,0.3,3.73,0.5,136,950,10.14,10,,41,12.53,1506,,,0.08,6,1.56,,328,0.6,0.39,,0.37,93,,95,67.7,,8.4,3,,,0.31,1.7,2,2,,13.5,14,8.9,20.7,2.7,12.3,2.6,0.89,2.95,0.4,2.8,0.56,1.27,0.24,1.4,0.21
51,Amph-Pl Gneiss,,,,,,,,,,,,,,,,,,,93,1350,0.23,,,,7.36,1,319,0.1,0.3,0.12,6.01,67.6,338,13.78,12.4,0.09,32,6.62,917,2.7,0.07,0.005,30.2,4.36,0.07,18.7,0.3,0.18,0.32,0.51,218,0.4,1274,16.7,4,3.4,3.6,0.15,,0.43,2,0.7,,0.16,5.2,33,2.1,5.46,,,,,,0.13,,,,,0.8,0.12
52,Qtz-Act-Ab Gneiss,,,,,,,,,,,,,,,,,,,83,3940,0.39,,,,6.89,,2583,0.1,0.22,0.1,6.8,65.5,256,13.1,11.8,0.12,24,6.34,827,5.53,0.08,0.005,26.2,2.94,0.36,90.2,0.3,0.17,0.6,0.56,206,0.3,1451,19.2,,3.4,2.6,0.17,0.3,0.24,2,0.58,,0.13,4,29.7,1.6,4.37,,,,,,0.12,,,,,0.5,0.1
53,Cor-Act Metasomatite,,,,,,,,,,,,,,,,,,,59,1470,0.17,,,,5.42,3,623,0.1,0.18,2.52,1.54,50.8,175,11.66,8.7,0.38,18,7.23,1645,8.31,0.08,0.005,23.8,3.85,0.25,67.9,0.2,0.13,0.35,0.99,167,3.6,555,16,3,8.4,2.2,0.17,0.6,1.96,,0.54,,0.12,6.8,22.4,2.5,4.8,,,,,,0.16,,,,,0.7,0.12
