source_file,source_fileId,sample_id,drillhole_id,depth_from_m,depth_to_m,depth_m,sample_type,rock_name,rock_name_original,texture,minerals,alteration,opaque_minerals,description_summary,analyst_or_lab,report_date
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-21-94.4,OVD21,,,94.4,double polished thin section,"Mineralised, serpentinized, fine to medium grained hornblende peridotite","Хүдэржиж, серпентинжсэн жижиг дунд ширхэгтэй эвэр хуурмагтай перидотит","Relict hypidiomorphic, poikilitic, occasionally sideronitic; structure massive, net",Serpentine pseudomorphs (after olivine and pyroxene):40-45; Hornblende:15-20; Altered plagioclase:8-10; Altered mon. pyroxene:5-10; Biotite-fuchsite:5-10; Magnetite:3-5; Pyrrhotite:10-15; Pentlandite:trace; Chalcopyrite:1-2; Apatite:trace,"Serpentinization, saussurite, talc, actinolite, iddingsite; fuchsite after hornblende margins",Magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; pyrrhotite 80-85% of ore minerals in lenses 0.5-7.0 mm; magnetite fine-grained intersecting veinlets in serpentine; pentlandite replaced by pyrrhotite and millerite,"Similar to samples 42.5 and 76.6: magnetite-bearing serpentine pseudomorphs after olivine/pyroxene with hornblende, biotite-fuchsite and minor saussuritized plagioclase. Intense mineralization as magnetite veinlets along serpentine fractures plus evenly distributed sulfide lenses related to serpentinization.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-11-101.5,OVD011,,,101.5,double polished thin section,Altered quartzose microdiorite,Хувирсан кварцат микродиорит,"Relict prismatic, poikilo-ophitic; structure massive",Altered plagioclase:50-55; Altered hornblende:30-35; Quartz:8-10; Leucoxenized titanite:1-3; Pyrite:trace; Apatite:trace,"Sericite, pelite, saussurite, actinolite, chlorite; epigenetic carbonate veinlets 0.1-0.5 mm",Titanite-pyrite paragenesis only; leucoxenized titanite 0.03-0.2 mm associated with hornblende; sparse fine pyrite 0.01-0.05 mm,Strongly altered microdiorite: plagioclase almost completely sericitized/saussuritized retaining relict prismatic form; hornblende heavily altered to actinolite and carbonate; sparse interstitial quartz with poikilitic inclusions. Essentially unmineralized; crosscut by carbonate(-actinolite) veinlets.,Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-21-107,OVD21,,,107.0,double polished thin section,"Mineralised, altered, fine to medium grained pyroxene-biotite-hornblende gabbro","Хүдэржиж, хувирсан жижиг дунд ширхэгтэй пироксен-биотит-эвэр хуурмагт габбро","Relict hypidiomorphic, poikilitic; structure massive","Altered plagioclase:40-45; Hornblende:20-25; Altered mon. pyroxene:5; Serpentine pseudomorph:5-8; Biotite:5-10; Magnetite:8-10; Pyrrhotite:5-8; Chalcopyrite:10; Pentlandite:3-5; Apatite:1.0-2; Sphene:trace; Silver, PGE?:2-3 phenocrysts","Serpentine, epidote, actinolite, chlorite; plagioclase cores altered to sericite-actinolite-epidote","Magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; chalcopyrite and magnetite dominant, lens-like accumulations 0.5-5.0 mm; possible platinum-group micrograins 0.005-0.01 mm","Gabbro of zoned mafic plagioclase, brown hornblende (with monoclinic pyroxene relicts), biotite and serpentinized olivine pseudomorphs. Intense mineralization forms relatively large evenly distributed ore lenses texturally associated with plagioclase and mafic minerals; chalcopyrite is notably abundant. Tiny high-luster white grains possibly PGM.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-21-116.1,OVD21,,,116.1,double polished thin section,"Mineralised and serpentinized, fine to medium grained hornblende peridotite","Хүдэржиж, серпентинжсэн жижиг дунд ширхэгтэй эвэр хуурмагтай перидотит","Relict hypidiomorphic, poikilitic, occasionally sideronitic; structure massive, net",Serpentinized olivine and pyroxene:40-45; Hornblende:15-20; Altered plagioclase:5-10; Altered mon. pyroxene:5-10; Biotite-fuchsite:5-10; Magnetite:3-5; Pyrrhotite:8-10; Pentlandite:1-2; Chalcopyrite:3-5; Sphalerite:trace; Apatite:trace; PGM phenocrysts?:5-6 phenocrysts,"Partial serpentinization (olivine/pyroxene not fully pseudomorphed), saussurite, talc, actinolite, iddingsite; fuchsite","Magnetite-pentlandite-pyrrhotite-chalcopyrite-sphalerite paragenesis; ore lenses 0.5-6.0 mm, pyrrhotite ~80% of lenses; millerite noted; white-gold group micrograins 0.005-0.01 mm",First of two slides labelled OVD-21-116.1. Identical macro/microscopically to samples 42.5 and 76.6 but olivine and pyroxene only partially serpentinized. Intense mineralization: magnetite veinlets in serpentine plus evenly distributed pyrrhotite-dominated sulfide lenses related to serpentinization of the ultramafic-mafic intrusive.,Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-21-116.1 (2),OVD21,,,116.1,double polished thin section,"Mineralised, serpentinized, fine to medium grained hornblende peridotite","Хүдэржиж, серпентинжсэн жижиг дунд ширхэгтэй эвэр хуурмагтай перидотит","Relict hypidiomorphic, poikilitic, in parts sideronitic; structure massive",Serpentine pseudomorph (after pyroxene and olivine):40-45; Hornblende:15-20; Altered plagioclase:3-5; Altered mon. pyroxene:5; Biotite-fuchsite:5-10; Magnetite:3-5; Pyrrhotite:10-15; Chalcopyrite:8-10; Pentlandite:3-5; Sphalerite:trace; PGM:3-5 phenocrysts,"Serpentinization, saussurite, talc, actinolite; fuchsite and iddingsite","Magnetite-pentlandite-pyrrhotite-chalcopyrite-sphalerite paragenesis; ore lenses 0.5-7.0 mm; pyrrhotite up to 7.0 mm rimmed/replaced by chalcopyrite (itself a dominant ore mineral, 0.1-2.5 mm); grey sphalerite 0.1-0.2 mm with chalcopyrite-pyrrhotite inclusions; white-gold group grains 0.004-0.01 mm","Second slide of sample OVD-21-116.1 (""There was 2""). Generally identical to samples 42.5 and 76.6: serpentine pseudomorphs after pyroxene/olivine with hornblende, biotite-fuchsite and minor plagioclase. Intense sulfide mineralization tied to serpentinization; chalcopyrite and pyrrhotite dominant.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-21-146.9,OVD21,,,146.9,double polished thin section,"Mineralised, serpentinized, fine to medium grained hornblende peridotite","Хүдэржиж, серпентинжсэн жижиг дунд ширхэгтэй эвэр хуурмагтай перидотит","Relict hypidiomorphic, poikilitic, in parts sideronitic; structure massive",Serpentine pseudomorph (after olivine and pyroxene):45-50; Hornblende:20-25; Altered plagioclase:1-3; Biotite-fuchsite:10-15; Magnetite:3-5; Pyrrhotite:8-10; Chalcopyrite:3-5; Pentlandite:trace,"Serpentinization, saussurite, talc, actinolite, iddingsite; fuchsite associated with olivine/serpentine",Magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; ore lenses 0.5-6.0 mm evenly distributed; fine magnetite veinlets along serpentine cleavage; chalcopyrite 0.1-2.0 mm replacing/rimming pyrrhotite,"Generally identical to sample 116.1: serpentine pseudomorphs (with talc, actinolite, biotite, fuchsite, iddingsite) after olivine/pyroxene plus dark hornblende and minor strongly saussuritized plagioclase. Intense mineralization as evenly distributed sulfide lenses related to serpentinization of the ultramafic-mafic intrusive.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-21-148.8,OVD21,,,148.8,double polished thin section,"Mineralised, serpentinized, fine to medium grained hornblende peridotite","Хүдэржиж, серпентинжсэн жижиг дунд ширхэгтэй эвэр хуурмагтай перидотит","Relict hypidiomorphic, poikilitic, in parts sideronitic; structure massive",Serpentine pseudomorph (after olivine and pyroxene):45-50; Hornblende:20-25; Altered plagioclase:1-3; Biotite-fuchsite:10-15; Magnetite:3-5; Pyrrhotite:8-10; Chalcopyrite:3-5; Pentlandite:trace,"Serpentinization, saussurite, talc, actinolite, iddingsite; fuchsite",Magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; ore lenses 0.5-6.0 mm; pyrrhotite 0.2-6.0 mm rimmed/replaced by chalcopyrite (0.1-2.5 mm); pentlandite 0.1-0.3 mm,"Generally identical to sample 146.9: serpentine pseudomorphs after olivine/pyroxene, dark hornblende, biotite-fuchsite and minor saussuritized plagioclase. Intense sulfide mineralization as evenly distributed lenses related to serpentinization; magnetite fine veinlets along serpentine cleavage.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD-21-165.2,OVD21,,,165.2,double polished thin section,"Mineralised, altered gabbro-porphyry","Хүдэржиж, хувирсан габбро порфир","Porphyritic; groundmass ophitic, poikilo-ophitic; structure massive",Altered plagioclase:55-60; Hornblende:20-25; Biotite:5-8; Altered mon. pyroxene:5; Magnetite:1-3; Pyrrhotite:1-2; Chalcopyrite:0.5-1.0; Pentlandite:trace,"Sericite, epidote, serpentine, saussurite, actinolite, carbonate, talc; pseudomorphs of actinolite-carbonate-talc after pyroxene; carbonate veins",Magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; magnetite euhedral 0.05-0.3 mm with mafic minerals; pyrrhotite-hornblende lens aggregates 0.5-1.8 mm; pentlandite micro-lenses rimmed by pyrrhotite and chalcopyrite,"Gabbro porphyry with hornblende and altered plagioclase phenocrysts in a subophitic groundmass of plagioclase, hornblende, minor monoclinic pyroxene and biotite. Hosts xenoliths of medium-fine hornblende gabbro (1-15 mm) carrying identical ore minerals. Mineralization mostly disseminated with sulfide micro-lenses; chalcopyrite intergrown with actinolite-carbonate-talc pseudomorphs.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,SC04-168.3,SC04,,,168.3,double polished thin section,Mineralised chlorite-sericite bearing micro-schist,Хүдэржсэн хлорит-серицитэт бичил занар,"Microgranolepidoblastic, porphyritic; structure schistose, lenticular, spotted, veinlet-like",Sericite:55-60; Chlorite:25-30; Quartz:8-10; Titanite:8-10; Pyrite:5-7; Chalcopyrite:trace; Silver:2-3 phenocrysts,Sericite pseudomorphs after cordierite (sectored-extinction lenses); secondary quartz and carbonate,Titanite-pyrite-chalcopyrite paragenesis; pyrite as cubic disseminations 0.05-0.3 mm and clustered veins 0.5-1.0 mm cutting foliation; sparse chalcopyrite micrograins; 2-3 bright-white grains possibly silver,Micro-schist of unidirectionally aligned chlorite-sericite; sericite lens aggregates with single-centered sectored extinction interpreted as pseudomorphs after cordierite. Mineralized with disseminated pyrite and pyrite veins along foliation; crosscut by minor carbonate-quartz veins carrying ore minerals. Microphotos labelled 168.8 (minor caption inconsistency vs sample 168.3).,Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,SC04-171,SC04,,,171.0,double polished thin section,Carbonatized and silicified altered andesite,"Карбонатчлагдаж, цахиуржсан хувирсан андезит",Porphyritic; groundmass microlitic; structure amygdaloidal,Altered plagioclase:55-60; Altered mafic mineral:10-15; Titanite (sphene):1-3; Pyrite:5-10; Chalcopyrite:trace; Pyrrhotite:trace; Silver?:2 grains; Apatite:trace; Sericite+chlorite+actinolite (secondary):10-15; Carbonate+quartz (secondary):5-10,Carbonatization and silicification; phenocrysts fully pseudomorphed by quartz-carbonate-chlorite; quartz-carbonate amygdales 0.6-2.5 mm (15-20%),"Pyrite-pyrrhotite-chalcopyrite paragenesis (plus ilmenite), mostly within quartz-carbonate-chlorite amygdales; euhedral pyrite 0.1-2.0 mm; 2-3 bright white grains possibly silver/PGM",Amygdaloidal andesite with phenocrysts completely replaced by quartz-carbonate-chlorite pseudomorphs (after plagioclase and probable hornblende) in a relict microlitic groundmass with glass-derived chlorite. Abundant quartz-carbonate amygdales host the ore minerals; chalcopyrite micrograins locally resemble gold in appearance.,Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,SC04-280.7,SC04,,,280.7,double polished thin section,"Altered alkali, quartzose diorite porphyry",Хувирсан шүлтлэгдүү кварцат диорит порфир,"Porphyritic; groundmass micro-hypidiomorphic, prismatic; structure massive",Altered plagioclase:55-60; Altered mafic mineral:20-25; Quartz:5-8; K-feldspar:3-5; Ilmenite:3-5; Titanite:1-2; Chalcopyrite:trace; Pyrite:trace; Pyrrhotite:trace; Silver:1-2 grains,"Sericite, epidote, chlorite, rutile, actinolite, carbonate; epigenetic carbonate and epidote lenses/veinlets 0.05-0.8 mm; mafic phenocrysts fully pseudomorphed by epidote-chlorite with rutile exsolution","Ilmenite-pyrite-pyrrhotite-chalcopyrite paragenesis associated with altered mafic minerals; ilmenite prismatic/skeletal, slightly leucoxenized; sparse pyrite and chalcopyrite micrograins partly in epidote lenses; 2-3 bright white grains likely silver",Diorite porphyry with strongly sericitized/epidotized plagioclase phenocrysts (some K-feldspar rimmed) and epidote-chlorite pseudomorphs after biotite/hornblende in a plagioclase-quartz-K-feldspar groundmass with micrographic intergrowths. Weakly mineralized: mainly ilmenite plus trace sulfides and probable silver micrograins.,Innova Mineral LLC,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,OVD20-60.6,OVD20,,,60.6,polished thin section,"Weakly mineralised, altered melanocratic gabbro porphyry","Сулавтар хүдэржиж, хувирсан меланократ габбро порфир","Porphyritic; groundmass poikilo-ophitic, hypidiomorphic; massive",Plagioclase:30-35; Hornblende:30-35; Altered olivine:20-25; Biotite:5-10; Quartz:1-3; Ilmenite:0.5-1.0; Pyrrhotite:1-2; Chromite:rare; Magnetite:rare; Chalcopyrite:trace,"Serpentine, saussurite, talc, actinolite, carbonate; plagioclase to sericite-chlorite-epidote-carbonate; olivine to talc-serpentine pseudomorphs","Ilmenite-chromite-magnetite-pyrrhotite-chalcopyrite paragenesis in minor amounts; pyrrhotite micro-lenses with talc-serpentine pseudomorphs, displacing chromite and ilmenite",Hornblende and altered-olivine phenocrysts (60-65%) in a poikilo-ophitic groundmass of zoned plagioclase and mafic minerals; olivine pseudomorphed by talc-serpentine; quartz-carbonate amygdules 0.5-3.0 mm. Weakly mineralised. Same sample as in the 6-sample report.,,
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,CRS01A-61.3,CRS01A,,,61.3,polished thin section,Mineralised cordierite-actinolite metasomatite,Хүдэржсэн кордиерит-актинолитат метасоматит,"Lepidogranonematoblastic; weakly parallel, lenticular, veined",Actinolite:45-50; Cordierite:30-35; Biotite:rare; Serpentine:5-10; Magnetite:rare; Pyrrhotite:8-10; Chalcopyrite:rare; Sphalerite:rare; Ilmenite:rare; Pyrite:rare,Sericite; probable serpentine as brownish isotropic micro-lenses,"Ilmenite-pyrite-magnetite-pyrrhotite-chalcopyrite-sphalerite paragenesis; pyrrhotite dominant as anhedral grains and lenses/veins 0.2-1.0 mm, displaced by chalcopyrite; sphalerite with chalcopyrite-pyrrhotite micro-inclusions","Similar to samples 41.4 and 53.4 (Innova 15-sample report): unevenly distributed cordierite and actinolite in lepidogranonematoblastic texture; coarse cordierite hosts acicular actinolite; significant mineralisation intergrown with cordierite, actinolite and probable serpentine.",,
